202.34,66.34,0.35,0.96,1.38
202.36,66.33,0.35,0.96,1.38
202.37,66.33,0.35,0.96,1.38
202.39,66.33,0.35,0.96,1.38
202.41,66.33,0.35,0.96,1.38
202.43,66.33,0.35,0.95,1.38
202.45,66.32,0.35,0.95,1.38
202.47,66.32,0.35,0.95,1.37
202.48,66.32,0.35,0.95,1.37
202.50,66.32,0.35,0.95,1.37
202.52,66.31,0.35,0.95,1.37
202.54,66.31,0.35,0.95,1.37
202.56,66.31,0.34,0.94,1.37
202.57,66.31,0.34,0.94,1.37
202.59,66.31,0.35,0.95,1.37
202.61,66.30,0.34,0.94,1.37
202.63,66.30,0.34,0.94,1.37
202.65,66.30,0.34,0.94,1.37
202.67,66.30,0.35,0.94,1.36
202.68,66.29,0.34,0.94,1.37
202.70,66.29,0.34,0.94,1.37
202.72,66.29,0.35,0.94,1.36
202.74,66.29,0.35,0.94,1.36
202.76,66.29,0.35,0.94,1.36
202.77,66.28,0.34,0.94,1.36
202.79,66.28,0.34,0.94,1.36
202.81,66.28,0.34,0.94,1.36
202.83,66.28,0.34,0.94,1.36
202.85,66.27,0.34,0.94,1.36
202.86,66.27,0.34,0.94,1.36
202.88,66.27,0.35,0.94,1.36
202.90,66.27,0.34,0.94,1.36
202.92,66.27,0.34,0.94,1.36
202.94,66.26,0.34,0.94,1.36
202.96,66.26,0.34,0.93,1.36
202.97,66.26,0.34,0.94,1.36
202.99,66.26,0.34,0.93,1.36
203.01,66.25,0.34,0.93,1.36
203.03,66.25,0.34,0.93,1.36
203.05,66.25,0.34,0.93,1.36
203.06,66.25,0.34,0.93,1.36
203.08,66.24,0.34,0.93,1.36
203.10,66.24,0.34,0.93,1.36
203.12,66.24,0.34,0.93,1.36
203.14,66.24,0.34,0.93,1.36
203.16,66.24,0.34,0.93,1.36
203.17,66.23,0.34,0.93,1.36
203.19,66.23,0.34,0.93,1.36
203.21,66.23,0.34,0.93,1.36
203.23,66.23,0.34,0.93,1.36
203.25,66.22,0.34,0.93,1.36
203.26,66.22,0.34,0.93,1.36
203.28,66.22,0.34,0.93,1.36
203.30,66.22,0.34,0.93,1.36
203.32,66.22,0.34,0.93,1.36
203.34,66.21,0.34,0.93,1.36
203.35,66.21,0.34,0.93,1.36
203.37,66.21,0.34,0.93,1.36
203.39,66.21,0.34,0.93,1.36
203.41,66.20,0.34,0.93,1.36
203.43,66.20,0.34,0.93,1.36
203.45,66.20,0.34,0.93,1.36
203.46,66.20,0.34,0.93,1.36
203.48,66.19,0.34,0.93,1.37
203.50,66.19,0.34,0.93,1.36
203.52,66.19,0.34,0.93,1.36
203.54,66.19,0.34,0.93,1.37
203.55,66.18,0.34,0.93,1.37
203.57,66.18,0.34,0.93,1.37
203.59,66.18,0.34,0.93,1.37
203.61,66.18,0.34,0.93,1.37
203.63,66.18,0.34,0.93,1.37
203.64,66.17,0.34,0.93,1.37
203.66,66.17,0.34,0.93,1.37
203.68,66.17,0.34,0.93,1.37
203.71,66.17,0.34,0.93,1.37
203.73,66.16,0.34,0.93,1.37
203.74,66.16,0.34,0.93,1.37
203.76,66.16,0.34,0.93,1.37
203.78,66.16,0.34,0.93,1.37
203.80,66.15,0.34,0.93,1.37
203.82,66.15,0.34,0.93,1.37
203.83,66.15,0.34,0.93,1.36
203.85,66.15,0.34,0.93,1.37
203.87,66.14,0.34,0.93,1.37
203.89,66.14,0.34,0.92,1.36
203.91,66.14,0.34,0.93,1.37
203.92,66.14,0.34,0.93,1.37
203.94,66.13,0.34,0.92,1.37
203.96,66.13,0.34,0.93,1.37
203.98,66.13,0.34,0.93,1.37
204.00,66.13,0.34,0.93,1.37
204.01,66.13,0.34,0.93,1.37
204.03,66.12,0.34,0.93,1.37
204.05,66.12,0.34,0.93,1.37
204.07,66.12,0.34,0.93,1.37
204.09,66.12,0.34,0.93,1.37
204.10,66.11,0.34,0.93,1.37
204.12,66.11,0.34,0.93,1.37
204.14,66.11,0.34,0.93,1.37
204.16,66.11,0.34,0.93,1.37
204.18,66.10,0.34,0.93,1.37
204.19,66.10,0.34,0.93,1.37
204.21,66.10,0.34,0.93,1.37
204.23,66.10,0.34,0.93,1.37
204.25,66.09,0.34,0.93,1.37
204.26,66.09,0.34,0.93,1.37
204.28,66.09,0.34,0.92,1.37
204.30,66.09,0.34,0.93,1.37
204.32,66.08,0.34,0.93,1.37
204.34,66.08,0.34,0.92,1.37
204.35,66.08,0.34,0.92,1.37
204.37,66.08,0.34,0.92,1.36
204.39,66.08,0.34,0.93,1.37
204.41,66.07,0.34,0.92,1.36
204.43,66.07,0.34,0.92,1.36
204.44,66.07,0.34,0.92,1.36
204.46,66.07,0.34,0.92,1.36
204.48,66.06,0.34,0.92,1.36
204.50,66.06,0.34,0.92,1.36
204.51,66.06,0.34,0.92,1.36
204.53,66.06,0.34,0.92,1.36
204.55,66.05,0.34,0.92,1.36
204.57,66.05,0.34,0.92,1.36
204.59,66.05,0.34,0.92,1.36
204.60,66.05,0.34,0.92,1.36
204.62,66.04,0.34,0.92,1.36
204.64,66.04,0.34,0.92,1.36
204.66,66.04,0.34,0.92,1.36
204.68,66.04,0.34,0.92,1.36
204.69,66.03,0.34,0.92,1.36
204.71,66.03,0.34,0.92,1.36
204.73,66.03,0.34,0.92,1.36
204.75,66.03,0.34,0.92,1.36
204.77,66.02,0.34,0.92,1.36
204.78,66.02,0.34,0.92,1.35
204.80,66.02,0.34,0.92,1.35
204.82,66.02,0.34,0.92,1.35
204.84,66.01,0.34,0.92,1.35
204.85,66.01,0.34,0.92,1.35
204.87,66.01,0.34,0.92,1.35
204.89,66.01,0.34,0.92,1.35
204.91,66.00,0.34,0.92,1.35
204.93,66.00,0.34,0.92,1.35
204.94,66.00,0.34,0.92,1.35
