Az: 241.80  El: 54.92
862, V1: 0.07 V2: 0.03 R: 1.07
864, V1: 0.07 V2: 0.03 R: 1.07
866, V1: 0.08 V2: 0.03 R: 1.14
868, V1: 0.08 V2: 0.03 R: 1.14
870, V1: 0.08 V2: 0.03 R: 1.14
Az: 245.92  El: 52.66
872, V1: 0.08 V2: 0.04 R: 1.00
874, V1: 0.07 V2: 0.04 R: 0.94
876, V1: 0.08 V2: 0.03 R: 1.14
878, V1: 0.08 V2: 0.03 R: 1.14
880, V1: 0.08 V2: 0.03 R: 1.14
Az: 245.96  El: 52.63
882, V1: 0.08 V2: 0.04 R: 1.00
884, V1: 0.08 V2: 0.03 R: 1.14
886, V1: 0.08 V2: 0.03 R: 1.14
888, V1: 0.08 V2: 0.04 R: 1.00
890, V1: 0.08 V2: 0.03 R: 1.14
Az: 246.01  El: 52.60
892, V1: 0.08 V2: 0.04 R: 1.00
894, V1: 0.08 V2: 0.03 R: 1.14
896, V1: 0.08 V2: 0.03 R: 1.14
898, V1: 0.08 V2: 0.03 R: 1.21
900, V1: 0.08 V2: 0.04 R: 1.00
Az: 246.05  El: 52.58
902, V1: 0.08 V2: 0.04 R: 1.00
904, V1: 0.08 V2: 0.04 R: 1.00
906, V1: 0.08 V2: 0.04 R: 1.00
908, V1: 0.08 V2: 0.03 R: 1.14
910, V1: 0.08 V2: 0.04 R: 1.00
Az: 246.10  El: 52.55
912, V1: 0.08 V2: 0.04 R: 1.00
914, V1: 0.08 V2: 0.04 R: 1.00
916, V1: 0.08 V2: 0.04 R: 1.00
918, V1: 0.08 V2: 0.04 R: 1.00
921, V1: 0.08 V2: 0.03 R: 1.14
Az: 246.14  El: 52.52
923, V1: 0.08 V2: 0.03 R: 1.14
925, V1: 0.08 V2: 0.04 R: 1.06
927, V1: 0.08 V2: 0.04 R: 1.00
929, V1: 0.08 V2: 0.04 R: 1.00
931, V1: 0.08 V2: 0.03 R: 1.14
Az: 246.19  El: 52.50
933, V1: 0.08 V2: 0.04 R: 1.00
935, V1: 0.08 V2: 0.03 R: 1.21
937, V1: 0.08 V2: 0.03 R: 1.21
939, V1: 0.08 V2: 0.03 R: 1.14
941, V1: 0.08 V2: 0.04 R: 1.06
Az: 246.24  El: 52.47
943, V1: 0.08 V2: 0.04 R: 1.00
945, V1: 0.08 V2: 0.04 R: 1.00
947, V1: 0.08 V2: 0.04 R: 1.06
949, V1: 0.08 V2: 0.04 R: 1.00
951, V1: 0.08 V2: 0.04 R: 1.06
Az: 246.28  El: 52.44
953, V1: 0.08 V2: 0.03 R: 1.21
955, V1: 0.08 V2: 0.03 R: 1.21
957, V1: 0.08 V2: 0.04 R: 1.00
959, V1: 0.08 V2: 0.04 R: 1.06
Az: 246.33  El: 52.42
961, V1: 0.08 V2: 0.04 R: 1.00
963, V1: 0.08 V2: 0.04 R: 1.06
965, V1: 0.08 V2: 0.04 R: 1.06
967, V1: 0.08 V2: 0.03 R: 1.21
969, V1: 0.08 V2: 0.04 R: 1.06
Az: 246.37  El: 52.39
971, V1: 0.08 V2: 0.04 R: 1.06
973, V1: 0.08 V2: 0.04 R: 0.94
975, V1: 0.08 V2: 0.04 R: 1.06
977, V1: 0.08 V2: 0.04 R: 1.06
979, V1: 0.08 V2: 0.04 R: 1.06
Az: 246.42  El: 52.36
981, V1: 0.08 V2: 0.04 R: 1.06
983, V1: 0.08 V2: 0.04 R: 1.06
985, V1: 0.08 V2: 0.04 R: 1.06
988, V1: 0.09 V2: 0.04 R: 1.12
990, V1: 0.08 V2: 0.04 R: 1.06
Az: 246.46  El: 52.34
992, V1: 0.08 V2: 0.04 R: 1.06
994, V1: 0.08 V2: 0.04 R: 1.06
996, V1: 0.08 V2: 0.04 R: 1.06
998, V1: 0.08 V2: 0.04 R: 0.94
1000, V1: 0.09 V2: 0.04 R: 1.12
Az: 246.51  El: 52.31
1002, V1: 0.08 V2: 0.04 R: 1.06
1004, V1: 0.09 V2: 0.04 R: 1.00
