Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.3070E+03 .6446E+00 .5493E-01 .3788E-01 .8765E-01 .4978E-01 .5493E-01 .3625E-01 .9117E-01 .5493E-01 .3788E-01 .3120E-02
.3075E+03 .6519E+00 .6452E-01 .4471E-01 .1032E+00 .5847E-01 .6452E-01 .4279E-01 .1073E+00 .6452E-01 .4471E-01 .3681E-02
.3080E+03 .6567E+00 .6714E-01 .4625E-01 .1071E+00 .6085E-01 .6714E-01 .4427E-01 .1114E+00 .6714E-01 .4625E-01 .3827E-02
.3085E+03 .6806E+00 .7484E-01 .5145E-01 .1193E+00 .6783E-01 .7484E-01 .4924E-01 .1241E+00 .7484E-01 .5145E-01 .4264E-02
.3090E+03 .5623E+00 .6549E-01 .4489E-01 .1042E+00 .5936E-01 .6549E-01 .4296E-01 .1085E+00 .6549E-01 .4489E-01 .3728E-02
.3095E+03 .5136E+00 .6973E-01 .5259E-01 .1158E+00 .6319E-01 .6973E-01 .5032E-01 .1200E+00 .6973E-01 .5259E-01 .4166E-02
.3100E+03 .4651E+00 .6784E-01 .5030E-01 .1118E+00 .6149E-01 .6784E-01 .4813E-01 .1160E+00 .6784E-01 .5030E-01 .4020E-02
.3105E+03 .7149E+00 .1085E+00 .7939E-01 .1777E+00 .9830E-01 .1085E+00 .7597E-01 .1844E+00 .1085E+00 .7939E-01 .6395E-02
.3110E+03 .8241E+00 .1325E+00 .9559E-01 .2156E+00 .1200E+00 .1325E+00 .9148E-01 .2239E+00 .1325E+00 .9559E-01 .7764E-02
.3115E+03 .7648E+00 .1266E+00 .9039E-01 .2051E+00 .1147E+00 .1266E+00 .8651E-01 .2131E+00 .1266E+00 .9039E-01 .7391E-02
.3120E+03 .6421E+00 .1186E+00 .8320E-01 .1907E+00 .1075E+00 .1186E+00 .7963E-01 .1983E+00 .1186E+00 .8320E-01 .6874E-02
.3125E+03 .6970E+00 .1384E+00 .9578E-01 .2212E+00 .1255E+00 .1384E+00 .9168E-01 .2301E+00 .1384E+00 .9578E-01 .7984E-02
.3130E+03 .7115E+00 .1472E+00 .1008E+00 .2342E+00 .1334E+00 .1472E+00 .9645E-01 .2436E+00 .1472E+00 .1008E+00 .8462E-02
.3135E+03 .7257E+00 .1467E+00 .9979E-01 .2328E+00 .1330E+00 .1467E+00 .9551E-01 .2423E+00 .1467E+00 .9979E-01 .8426E-02
.3140E+03 .7936E+00 .1738E+00 .1167E+00 .2742E+00 .1575E+00 .1738E+00 .1117E+00 .2855E+00 .1738E+00 .1167E+00 .9940E-02
.3145E+03 .5931E+00 .1435E+00 .9519E-01 .2252E+00 .1300E+00 .1435E+00 .9112E-01 .2346E+00 .1435E+00 .9519E-01 .8169E-02
.3150E+03 .7541E+00 .1869E+00 .1229E+00 .2923E+00 .1694E+00 .1869E+00 .1177E+00 .3045E+00 .1869E+00 .1229E+00 .1061E-01
.3155E+03 .6804E+00 .1627E+00 .1063E+00 .2537E+00 .1474E+00 .1627E+00 .1017E+00 .2644E+00 .1627E+00 .1063E+00 .9218E-02
.3160E+03 .5183E+00 .1340E+00 .8667E-01 .2081E+00 .1214E+00 .1340E+00 .8297E-01 .2170E+00 .1340E+00 .8667E-01 .7567E-02
.3165E+03 .6632E+00 .1830E+00 .1174E+00 .2833E+00 .1658E+00 .1830E+00 .1124E+00 .2954E+00 .1830E+00 .1174E+00 .1044E-01
.3170E+03 .8229E+00 .2282E+00 .1452E+00 .3520E+00 .2068E+00 .2282E+00 .1390E+00 .3672E+00 .2282E+00 .1452E+00 .1314E-01
.3175E+03 .8804E+00 .2418E+00 .1527E+00 .3718E+00 .2191E+00 .2418E+00 .1462E+00 .3880E+00 .2418E+00 .1527E+00 .1405E-01
.3180E+03 .6346E+00 .1823E+00 .1143E+00 .2795E+00 .1652E+00 .1823E+00 .1094E+00 .2918E+00 .1823E+00 .1143E+00 .1070E-01
.3185E+03 .6824E+00 .2117E+00 .1320E+00 .3238E+00 .1918E+00 .2117E+00 .1264E+00 .3381E+00 .2117E+00 .1320E+00 .1258E-01
.3190E+03 .7535E+00 .2432E+00 .1508E+00 .3712E+00 .2204E+00 .2432E+00 .1444E+00 .3876E+00 .2432E+00 .1508E+00 .1462E-01
.3195E+03 .6833E+00 .2104E+00 .1291E+00 .3198E+00 .1906E+00 .2104E+00 .1237E+00 .3340E+00 .2104E+00 .1291E+00 .1277E-01
.3200E+03 .8369E+00 .2569E+00 .1565E+00 .3893E+00 .2328E+00 .2569E+00 .1499E+00 .4068E+00 .2569E+00 .1565E+00 .1576E-01
.3205E+03 .9082E+00 .3000E+00 .1819E+00 .4538E+00 .2719E+00 .3000E+00 .1742E+00 .4743E+00 .3000E+00 .1819E+00 .1859E-01
.3210E+03 .7156E+00 .2513E+00 .1536E+00 .3813E+00 .2278E+00 .2513E+00 .1471E+00 .3985E+00 .2513E+00 .1536E+00 .1582E-01
.3215E+03 .6753E+00 .2401E+00 .1459E+00 .3636E+00 .2176E+00 .2401E+00 .1398E+00 .3799E+00 .2401E+00 .1459E+00 .1526E-01
.3220E+03 .8151E+00 .2748E+00 .1629E+00 .4119E+00 .2490E+00 .2748E+00 .1561E+00 .4309E+00 .2748E+00 .1629E+00 .1747E-01
.3225E+03 .7018E+00 .2386E+00 .1405E+00 .3567E+00 .2162E+00 .2386E+00 .1346E+00 .3732E+00 .2386E+00 .1405E+00 .1532E-01
.3230E+03 .6403E+00 .2276E+00 .1346E+00 .3409E+00 .2063E+00 .2276E+00 .1290E+00 .3566E+00 .2276E+00 .1346E+00 .1484E-01
.3235E+03 .6833E+00 .2599E+00 .1630E+00 .3986E+00 .2356E+00 .2599E+00 .1562E+00 .4161E+00 .2599E+00 .1630E+00 .1763E-01
.3240E+03 .7817E+00 .3017E+00 .1884E+00 .4618E+00 .2734E+00 .3017E+00 .1806E+00 .4823E+00 .3017E+00 .1884E+00 .2069E-01
.3245E+03 .8269E+00 .3138E+00 .1931E+00 .4775E+00 .2844E+00 .3138E+00 .1851E+00 .4989E+00 .3138E+00 .1931E+00 .2161E-01
.3250E+03 .7845E+00 .2870E+00 .1652E+00 .4253E+00 .2601E+00 .2870E+00 .1584E+00 .4454E+00 .2870E+00 .1652E+00 .1939E-01
.3255E+03 .9417E+00 .3566E+00 .2059E+00 .5290E+00 .3231E+00 .3566E+00 .1974E+00 .5540E+00 .3566E+00 .2059E+00 .2438E-01
.3260E+03 .1053E+01 .4170E+00 .2534E+00 .6314E+00 .3780E+00 .4170E+00 .2429E+00 .6600E+00 .4170E+00 .2534E+00 .2948E-01
.3265E+03 .9975E+00 .4073E+00 .2481E+00 .6172E+00 .3691E+00 .4073E+00 .2379E+00 .6452E+00 .4073E+00 .2481E+00 .2916E-01
.3270E+03 .1010E+01 .4111E+00 .2479E+00 .6205E+00 .3726E+00 .4111E+00 .2377E+00 .6488E+00 .4111E+00 .2479E+00 .2963E-01
.3275E+03 .9966E+00 .4031E+00 .2403E+00 .6056E+00 .3653E+00 .4031E+00 .2304E+00 .6335E+00 .4031E+00 .2403E+00 .2923E-01
.3280E+03 .9535E+00 .3733E+00 .2087E+00 .5470E+00 .3383E+00 .3733E+00 .2002E+00 .5734E+00 .3733E+00 .2087E+00 .2660E-01
.3285E+03 .9138E+00 .3757E+00 .2214E+00 .5619E+00 .3405E+00 .3757E+00 .2123E+00 .5881E+00 .3757E+00 .2214E+00 .2770E-01
.3290E+03 .1025E+01 .4357E+00 .2578E+00 .6527E+00 .3949E+00 .4357E+00 .2473E+00 .6830E+00 .4357E+00 .2578E+00 .3252E-01
.3295E+03 .1140E+01 .4907E+00 .2893E+00 .7340E+00 .4447E+00 .4907E+00 .2775E+00 .7682E+00 .4907E+00 .2893E+00 .3694E-01
.3300E+03 .1163E+01 .5002E+00 .2920E+00 .7453E+00 .4533E+00 .5002E+00 .2802E+00 .7803E+00 .5002E+00 .2920E+00 .3788E-01
.3305E+03 .9731E+00 .4117E+00 .2366E+00 .6098E+00 .3731E+00 .4117E+00 .2271E+00 .6387E+00 .4117E+00 .2366E+00 .3127E-01
.3310E+03 .1006E+01 .4240E+00 .2413E+00 .6256E+00 .3843E+00 .4240E+00 .2315E+00 .6556E+00 .4240E+00 .2413E+00 .3239E-01
.3315E+03 .9821E+00 .4233E+00 .2408E+00 .6245E+00 .3836E+00 .4233E+00 .2311E+00 .6544E+00 .4233E+00 .2408E+00 .3265E-01
.3320E+03 .1007E+01 .4457E+00 .2543E+00 .6582E+00 .4039E+00 .4457E+00 .2440E+00 .6897E+00 .4457E+00 .2543E+00 .3476E-01
.3325E+03 .9727E+00 .4364E+00 .2483E+00 .6438E+00 .3955E+00 .4364E+00 .2383E+00 .6747E+00 .4364E+00 .2483E+00 .3434E-01
.3330E+03 .9796E+00 .4392E+00 .2476E+00 .6456E+00 .3981E+00 .4392E+00 .2377E+00 .6769E+00 .4392E+00 .2476E+00 .3477E-01
.3335E+03 .9170E+00 .4066E+00 .2260E+00 .5945E+00 .3685E+00 .4066E+00 .2170E+00 .6236E+00 .4066E+00 .2260E+00 .3231E-01
