Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.3500E+03 .1082E+01 .2723E+00 .1748E+00 .2899E+00 .1151E+00 .2723E+00 .1319E+00 .4042E+00 .2723E+00 .1748E+00 .2554E-01
.3505E+03 .1139E+01 .2886E+00 .1837E+00 .3057E+00 .1220E+00 .2886E+00 .1388E+00 .4274E+00 .2886E+00 .1837E+00 .2713E-01
.3510E+03 .1015E+01 .2586E+00 .1636E+00 .2729E+00 .1093E+00 .2586E+00 .1236E+00 .3823E+00 .2586E+00 .1636E+00 .2439E-01
.3515E+03 .9814E+00 .2513E+00 .1589E+00 .2651E+00 .1062E+00 .2513E+00 .1201E+00 .3714E+00 .2513E+00 .1589E+00 .2385E-01
.3520E+03 .1054E+01 .2724E+00 .1699E+00 .2850E+00 .1151E+00 .2724E+00 .1285E+00 .4009E+00 .2724E+00 .1699E+00 .2583E-01
.3525E+03 .8215E+00 .2141E+00 .1320E+00 .2225E+00 .9049E-01 .2141E+00 .9995E-01 .3141E+00 .2141E+00 .1320E+00 .2032E-01
.3530E+03 .1033E+01 .2714E+00 .1657E+00 .2803E+00 .1147E+00 .2714E+00 .1255E+00 .3969E+00 .2714E+00 .1657E+00 .2580E-01
.3535E+03 .1103E+01 .2915E+00 .1764E+00 .2996E+00 .1232E+00 .2915E+00 .1337E+00 .4252E+00 .2915E+00 .1764E+00 .2778E-01
.3540E+03 .1144E+01 .3039E+00 .1823E+00 .3107E+00 .1284E+00 .3039E+00 .1383E+00 .4422E+00 .3039E+00 .1823E+00 .2903E-01
.3545E+03 .1159E+01 .3099E+00 .1844E+00 .3154E+00 .1310E+00 .3099E+00 .1400E+00 .4499E+00 .3099E+00 .1844E+00 .2968E-01
.3550E+03 .1153E+01 .3104E+00 .1834E+00 .3146E+00 .1312E+00 .3104E+00 .1393E+00 .4497E+00 .3104E+00 .1834E+00 .2981E-01
.3555E+03 .1039E+01 .2823E+00 .1652E+00 .2845E+00 .1193E+00 .2823E+00 .1256E+00 .4079E+00 .2823E+00 .1652E+00 .2715E-01
.3560E+03 .1085E+01 .2971E+00 .1724E+00 .2980E+00 .1256E+00 .2971E+00 .1312E+00 .4283E+00 .2971E+00 .1724E+00 .2864E-01
.3565E+03 .9252E+00 .2550E+00 .1468E+00 .2546E+00 .1078E+00 .2550E+00 .1118E+00 .3667E+00 .2550E+00 .1468E+00 .2463E-01
.3570E+03 .7640E+00 .2116E+00 .1209E+00 .2104E+00 .8944E-01 .2116E+00 .9213E-01 .3038E+00 .2116E+00 .1209E+00 .2050E-01
.3575E+03 .9344E+00 .2604E+00 .1476E+00 .2577E+00 .1100E+00 .2604E+00 .1125E+00 .3729E+00 .2604E+00 .1476E+00 .2528E-01
.3580E+03 .7396E+00 .2074E+00 .1167E+00 .2043E+00 .8766E-01 .2074E+00 .8899E-01 .2964E+00 .2074E+00 .1167E+00 .2018E-01
.3585E+03 .6313E+00 .1781E+00 .9941E-01 .1747E+00 .7529E-01 .1781E+00 .7588E-01 .2540E+00 .1781E+00 .9941E-01 .1737E-01
.3590E+03 .8821E+00 .2503E+00 .1387E+00 .2445E+00 .1058E+00 .2503E+00 .1059E+00 .3563E+00 .2503E+00 .1387E+00 .2448E-01
