V1; V2
2.38; 1.42
2.32; 0.49
3.30; 0.00
3.30; 0.00
2.21; 0.44
2.22; 0.72
2.59; 0.96
2.37; 0.01
2.41; 1.03
2.25; 0.90
2.53; 1.50
2.25; 1.41
2.36; 1.44
2.31; 0.70
2.22; 2.02
2.60; 0.53
2.70; 0.86
2.32; 1.29
2.64; 0.12
2.54; 1.03
2.54; 1.80
2.22; 1.37
2.59; 0.90
2.64; 0.77
2.41; 0.77
2.39; 1.22
2.60; 0.17
2.79; 1.64
2.23; 0.88
2.42; 1.13
2.51; 0.70
1.95; 0.60
2.20; 0.93
2.38; 1.06
2.49; 1.11
2.52; 0.39
1.98; 0.39
2.54; 1.02
2.38; 1.52
2.50; 0.00
2.65; 0.13
2.25; 0.39
2.64; 1.44
2.32; 1.21
2.17; 0.91
2.21; 0.92
2.29; 1.88
2.29; 0.00
2.36; 1.75
2.30; 0.98
2.29; 1.47
2.56; 0.46
2.44; 1.32
2.54; 0.30
2.72; 0.57
2.78; 1.67
2.60; 0.63
2.30; 1.02
2.52; 1.07
2.36; 0.88
2.50; 1.14
2.63; 0.72
2.01; 0.75
2.53; 2.20
2.87; 0.23
2.72; 0.49
2.33; 0.21
2.25; 0.28
2.36; 1.21
2.48; 0.21
2.49; 0.59
2.61; 0.59
2.45; 1.32
2.51; 0.49
2.66; 1.11
2.49; 1.06
2.59; 1.73
2.15; 2.46
2.62; 0.34
2.59; 0.32
2.62; 1.30
2.60; 1.73
2.65; 1.52
2.39; 1.86
2.39; 0.70
2.46; 1.06
2.77; 0.64
2.74; 1.29
2.58; 1.32
2.73; 1.27
2.52; 1.61
2.53; 1.60
2.34; 1.01
2.19; 1.42
2.52; 2.11
2.21; 0.37
2.29; 1.12
2.45; 1.37
2.38; 1.62
2.40; 1.01
2.34; 2.35
2.42; 0.54
2.40; 1.99
2.16; 0.58
2.53; 0.60
2.30; 0.76
2.35; 1.38
2.29; 1.14
2.34; 1.64
2.69; 0.49
2.58; 0.83
2.67; 1.62
2.02; 0.98
2.53; 1.06
2.54; 0.70
2.49; 1.73
2.51; 0.72
2.47; 1.46
1.95; 0.26
2.08; 1.58
2.40; 1.16
2.80; 0.48
2.29; 0.44
2.27; 1.28
2.53; 1.43
2.24; 0.30
2.45; 0.69
1.94; 1.33
2.46; 0.97
2.55; 0.66
2.24; 0.35
2.52; 1.03
2.41; 0.83
2.31; 1.36
2.25; 0.64
2.19; 0.86
2.54; 0.32
2.17; 1.68
2.26; 1.02
2.41; 1.57
2.72; 1.51
2.40; 0.25
2.38; 0.08
2.49; 1.71
2.52; 0.55
2.51; 1.09
2.50; 1.35
2.61; 0.48
2.76; 0.64
2.19; 1.13
2.21; 0.85
2.44; 0.79
2.49; 0.00
2.34; 1.99
2.41; 0.16
2.34; 1.39
2.46; 0.52
2.25; 1.01
2.47; 0.84
2.23; 0.34
2.42; 1.08
2.18; 1.04
2.15; 0.79
2.44; 1.01
2.50; 1.40
2.45; 0.34
2.43; 1.54
2.60; 1.39
2.36; 2.01
2.42; 0.00
2.26; 1.86
2.30; 0.53
2.46; 1.66
2.03; 0.88
2.68; 2.15
2.72; 1.81
2.27; 1.28
2.40; 0.09
2.47; 0.84
2.60; 0.23
1.98; 2.26
2.49; 0.52
2.00; 1.96
2.34; 0.55
2.03; 0.30
2.40; 1.34
2.54; 1.91
2.38; 0.00
2.68; 1.79
1.91; 0.65
2.55; 2.14
2.54; 1.06
2.45; 0.57
2.30; 1.53
2.73; 1.56
2.75; 1.73
2.02; 0.97
2.33; 0.64
2.28; 0.61
2.60; 1.56
2.25; 1.99
2.49; 1.86
2.62; 0.20
2.53; 0.67
2.33; 0.98
2.48; 1.59
2.53; 1.53
2.42; 1.67
2.28; 1.27
2.61; 1.46
2.31; 0.97
2.47; 1.39
2.40; 0.83
2.39; 0.56
2.73; 0.27
2.34; 1.67
2.66; 2.04
2.66; 1.07
2.37; 0.73
2.20; 1.36
2.59; 0.90
2.52; 1.57
2.30; 1.55
2.18; 1.43
2.36; 2.14
2.46; 1.17
2.15; 1.15
2.54; 2.16
2.75; 0.23
2.37; 1.01
2.77; 1.16
2.25; 0.64
2.44; 1.58
2.53; 0.28
2.56; 1.86
2.41; 0.32
2.49; 1.46
2.37; 1.27
2.49; 0.16
2.63; 1.18
2.28; 1.47
2.58; 0.49
2.53; 1.19
2.60; 0.39
2.27; 0.93
2.50; 1.41
2.74; 1.88
2.34; 1.73
2.31; 0.63
2.65; 0.30
2.28; 1.43
2.21; 1.37
2.29; 1.28
2.13; 0.71
2.27; 1.61
2.22; 1.70
2.44; 1.12
2.52; 0.80
2.37; 1.75
2.55; 1.19
2.73; 2.04
2.44; 1.18
2.56; 0.84
2.64; 1.58
2.43; 0.21
2.44; 1.55
2.31; 1.04
2.34; 0.28
2.43; 1.22
2.32; 0.92
2.24; 1.50
2.58; 1.71
2.60; 1.08
2.03; 0.79
2.54; 0.94
2.45; 0.53
2.87; 1.93
2.34; 1.13
2.57; 1.18
3.30; 0.00
2.62; 1.06
2.43; 1.64
2.77; 0.92
2.64; 1.63
2.29; 1.19
2.39; 0.29
2.15; 1.48
2.27; 0.58
2.13; 0.62
2.69; 1.54
2.34; 1.22
2.67; 0.80
2.04; 1.16
2.46; 1.52
2.60; 1.05
2.18; 1.79
2.71; 0.05
2.16; 0.54
2.16; 1.47
2.46; 1.73
2.42; 0.47
2.40; 0.76
2.28; 1.59
2.09; 1.18
2.47; 0.00
2.35; 1.47
2.53; 0.34
2.18; 0.87
2.18; 0.93
2.29; 0.81
2.27; 1.39
2.75; 0.88
2.41; 1.19
2.44; 1.29
2.20; 1.30
2.45; 1.25
2.59; 1.00
2.57; 1.27
2.50; 0.61
2.41; 1.68
2.66; 1.32
2.53; 1.65
2.69; 1.34
2.29; 1.47
2.40; 0.47
2.28; 1.50
2.49; 2.27
2.57; 1.59
2.49; 1.46
2.23; 0.40
2.51; 1.37
2.31; 0.00
1.77; 1.46
1.27; 1.02
1.66; 0.13
2.17; 1.21
1.91; 0.82
1.74; 1.37
2.11; 1.39
2.43; 0.59
2.51; 0.68
2.41; 2.15
2.32; 2.31
2.42; 1.69
2.13; 0.67
2.51; 2.26
2.25; 2.47
2.28; 0.38
2.34; 0.75
2.23; 0.95
2.54; 1.92
2.17; 1.53
2.16; 1.52
2.56; 1.51
2.18; 0.78
2.62; 0.10
2.39; 0.52
2.16; 2.15
2.09; 0.34
2.31; 1.07
2.26; 1.49
2.23; 0.90
2.63; 2.42
2.16; 1.53
2.72; 2.13
2.76; 1.71
2.33; 2.22
2.14; 1.29
2.68; 1.97
2.39; 1.33
2.81; 1.52
2.33; 1.79
2.39; 1.21
2.52; 1.42
2.54; 1.78
2.62; 1.12
2.25; 0.65
2.65; 1.25
2.67; 1.96
2.42; 0.47
2.52; 0.67
2.09; 0.85
2.60; 0.56
2.29; 1.32
2.42; 1.28
2.69; 1.59
2.57; 1.32
2.34; 1.51
2.44; 0.92
2.31; 0.16
2.25; 1.77
2.49; 1.06
2.45; 2.30
2.40; 0.89
2.53; 0.77
2.08; 0.09
2.58; 1.10
2.39; 1.68
2.63; 1.32
2.26; 1.22
2.65; 1.88
2.68; 0.52
2.34; 1.08
2.44; 0.71
2.43; 0.31
2.26; 0.99
2.56; 0.60
2.40; 1.60
1.96; 0.48
2.58; 1.03
2.26; 0.03
2.82; 1.52
2.48; 0.54
2.70; 1.11
2.15; 1.42
2.69; 1.21
2.47; 1.87
2.05; 0.54
2.47; 0.89
2.28; 0.33
1.93; 1.59
2.64; 1.16
1.89; 1.70
2.23; 0.84
2.50; 0.32
2.46; 1.02
2.18; 1.25
2.57; 1.26
2.52; 2.33
2.24; 1.48
2.35; 0.18
2.38; 1.54
2.64; 1.21
2.49; 0.49
2.50; 1.10
2.41; 2.14
2.67; 0.79
2.35; 0.89
2.50; 0.55
2.19; 1.30
2.13; 0.86
2.26; 1.70
2.51; 2.24
2.43; 1.02
2.50; 0.53
2.37; 1.41
2.56; 1.72
2.28; 1.75
2.57; 2.12
2.36; 1.67
2.37; 0.14
2.37; 1.04
2.43; 1.33
2.30; 1.10
2.08; 0.44
2.69; 0.89
2.26; 1.71
2.61; 2.08
2.37; 1.75
2.52; 1.76
2.66; 0.91
2.41; 1.56
2.62; 1.18
2.30; 1.86
2.42; 1.06
2.36; 1.02
2.23; 0.58
2.62; 1.93
2.34; 1.21
2.34; 1.68
2.51; 1.19
2.39; 0.29
2.34; 1.11
2.43; 0.59
2.53; 0.71
2.47; 0.97
2.51; 2.04
2.50; 1.61
2.30; 1.63
2.63; 1.61
2.57; 1.55
2.55; 0.12
2.88; 0.52
2.30; 0.44
2.43; 0.77
2.21; 0.46
2.06; 1.43
2.24; 0.82
2.39; 1.69
2.52; 2.05
2.66; 1.47
2.42; 1.34
2.06; 1.01
2.40; 0.35
2.39; 1.88
2.31; 1.07
2.43; 1.44
2.17; 0.43
2.37; 0.96
2.50; 1.15
2.47; 0.97
2.58; 1.12
2.45; 1.11
2.40; 0.77
2.14; 0.97
2.16; 0.54
2.12; 1.08
2.39; 1.99
2.18; 1.37
2.32; 1.76
2.67; 1.92
2.40; 0.41
2.32; 0.76
2.25; 0.95
2.17; 1.60
2.54; 0.00
2.65; 1.37
2.43; 0.97
2.36; 1.88
2.41; 0.80
2.44; 1.25
2.59; 2.53
2.26; 0.45
2.54; 0.98
2.64; 0.28
2.23; 0.92
2.45; 1.21
2.34; 1.46
2.42; 1.88
2.41; 0.63
2.77; 0.48
2.56; 2.13
2.33; 0.14
2.20; 1.46
2.33; 1.96
2.00; 0.28
2.19; 0.45
2.12; 0.19
2.55; 1.48
2.43; 1.92
2.58; 0.34
2.41; 1.42
2.45; 0.76
1.94; 2.11
2.22; 1.15
2.38; 0.33
2.25; 0.69
2.16; 1.21
2.53; 1.81
2.44; 0.15
2.51; 1.71
2.44; 1.52
2.43; 1.06
2.53; 1.84
2.25; 0.75
2.61; 1.84
2.50; 1.55
2.22; 1.94
2.37; 1.08
2.55; 1.43
2.67; 2.15
2.61; 1.19
2.36; 0.93
2.46; 0.19
2.32; 2.02
2.16; 1.52
2.35; 0.61
2.65; 0.95
2.44; 1.17
2.48; 1.47
2.45; 1.55
2.57; 0.82
2.43; 0.66
2.18; 1.79
2.42; 2.05
2.57; 0.41
2.44; 1.11
2.04; 1.74
2.32; 1.37
2.13; 0.61
2.02; 0.79
2.38; 1.74
2.31; 0.21
2.37; 1.35
2.24; 0.00
2.30; 0.57
