=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.30 15:50:58 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
2023,1.388,0.662,1.037,0.013,0.007,0.011,43.21
2033,1.385,0.661,1.038,0.011,0.006,0.011,43.18
2043,1.384,0.660,1.038,0.013,0.007,0.011,43.15
2053,1.384,0.659,1.039,0.014,0.006,0.012,43.12
2063,1.382,0.658,1.039,0.012,0.006,0.011,43.09
2073,1.380,0.658,1.038,0.012,0.006,0.009,43.06
2083,1.379,0.658,1.037,0.013,0.007,0.010,43.04
2093,1.379,0.658,1.037,0.014,0.007,0.010,43.01
2103,1.379,0.658,1.038,0.014,0.007,0.011,42.98
2113,1.378,0.658,1.037,0.013,0.007,0.010,42.95
2124,1.376,0.657,1.037,0.012,0.006,0.011,42.92
2134,1.375,0.658,1.035,0.013,0.007,0.009,42.89
2144,1.375,0.657,1.036,0.014,0.007,0.011,42.86
2154,1.374,0.657,1.036,0.013,0.006,0.012,42.83
2164,1.374,0.655,1.038,0.014,0.006,0.013,42.80
2174,1.372,0.654,1.038,0.012,0.005,0.011,42.78
2184,1.369,0.653,1.038,0.011,0.006,0.010,42.75
2194,1.368,0.653,1.037,0.013,0.006,0.010,42.72
2204,1.367,0.653,1.036,0.013,0.007,0.010,42.69
2214,1.369,0.653,1.038,0.016,0.007,0.012,42.66
2224,1.369,0.653,1.038,0.014,0.007,0.010,42.63
2234,1.368,0.653,1.037,0.013,0.006,0.010,42.61
2244,1.365,0.652,1.036,0.011,0.006,0.010,42.58
2254,1.365,0.651,1.037,0.013,0.006,0.012,42.55
2264,1.364,0.650,1.039,0.014,0.005,0.013,42.52
2274,1.363,0.650,1.038,0.013,0.007,0.010,42.49
2285,1.363,0.649,1.039,0.014,0.006,0.012,42.46
2295,1.361,0.649,1.038,0.012,0.006,0.010,42.43
2305,1.361,0.649,1.038,0.013,0.007,0.011,42.40
2315,1.360,0.649,1.038,0.013,0.006,0.010,42.37
2325,1.360,0.648,1.038,0.013,0.006,0.011,42.34
2335,1.360,0.648,1.038,0.014,0.006,0.011,42.32
2345,1.358,0.648,1.038,0.012,0.006,0.010,42.29
