=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.30 14:27:45 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
1550,2.761,4.106,0.333,0.022,0.038,0.003,57.76
1560,2.768,4.122,0.332,0.035,0.058,0.003,57.73
1570,2.764,4.122,0.332,0.025,0.044,0.003,57.71
1580,2.717,4.059,0.331,0.023,0.027,0.003,57.69
1590,2.704,4.047,0.331,0.015,0.030,0.003,57.66
1600,2.684,4.024,0.330,0.009,0.019,0.003,57.64
1610,2.673,4.015,0.329,0.017,0.032,0.003,57.61
1620,2.674,4.026,0.329,0.028,0.052,0.003,57.59
1631,2.678,4.041,0.328,0.032,0.056,0.003,57.57
1641,2.662,4.022,0.328,0.014,0.024,0.003,57.54
1651,2.622,3.965,0.327,0.028,0.040,0.003,57.52
1661,2.549,3.861,0.327,0.048,0.067,0.003,57.49
1671,2.632,3.989,0.327,0.110,0.170,0.003,57.47
1681,2.649,4.016,0.326,0.044,0.067,0.003,57.44
1691,2.633,3.993,0.326,0.011,0.018,0.003,57.42
1701,2.638,4.003,0.326,0.033,0.051,0.003,57.40
1711,2.631,3.992,0.326,0.022,0.034,0.003,57.37
1721,2.624,3.982,0.326,0.020,0.031,0.003,57.35
1731,2.622,3.980,0.326,0.025,0.039,0.003,57.32
1741,2.624,3.986,0.326,0.029,0.047,0.003,57.30
1751,2.622,3.984,0.326,0.024,0.038,0.003,57.27
1761,2.620,3.985,0.325,0.025,0.041,0.003,57.25
1771,2.620,3.989,0.325,0.027,0.045,0.003,57.23
1781,2.620,3.994,0.325,0.027,0.046,0.003,57.20
1792,2.623,4.002,0.324,0.029,0.048,0.003,57.18
1802,2.621,4.002,0.324,0.024,0.041,0.003,57.15
1812,2.613,3.996,0.324,0.019,0.034,0.003,57.13
1822,2.606,3.990,0.323,0.019,0.035,0.003,57.10
1832,2.592,3.977,0.323,0.013,0.027,0.003,57.08
1842,2.573,3.953,0.322,0.010,0.019,0.003,57.06
1852,2.568,3.952,0.322,0.021,0.040,0.003,57.03
1862,2.568,3.960,0.321,0.027,0.049,0.003,57.01
1872,2.574,3.976,0.320,0.032,0.056,0.003,56.98
1882,2.568,3.976,0.320,0.021,0.041,0.003,56.96
1892,2.556,3.963,0.319,0.015,0.029,0.003,56.93
1902,2.535,3.936,0.319,0.005,0.013,0.003,56.91
1912,2.527,3.934,0.318,0.019,0.038,0.002,56.88
1922,2.541,3.962,0.317,0.040,0.069,0.003,56.86
1932,2.536,3.961,0.317,0.021,0.039,0.003,56.84
1942,2.536,3.971,0.316,0.026,0.049,0.003,56.81
1952,2.520,3.952,0.316,0.010,0.022,0.003,56.79
1963,2.507,3.935,0.315,0.013,0.024,0.003,56.76
1973,2.500,3.926,0.315,0.019,0.030,0.003,56.74
1983,2.491,3.915,0.315,0.017,0.029,0.003,56.71
1993,2.477,3.894,0.315,0.012,0.020,0.003,56.69
2003,2.470,3.884,0.315,0.018,0.030,0.003,56.66
2013,2.466,3.880,0.315,0.022,0.035,0.003,56.64
2023,2.467,3.880,0.315,0.026,0.039,0.003,56.61
2033,2.463,3.873,0.315,0.021,0.032,0.003,56.59
2043,2.455,3.858,0.315,0.021,0.031,0.003,56.56
2053,2.426,3.811,0.315,0.005,0.009,0.003,56.54
2063,2.427,3.813,0.315,0.025,0.041,0.003,56.51
2073,2.426,3.810,0.315,0.023,0.036,0.003,56.49
2083,2.429,3.813,0.315,0.028,0.041,0.003,56.47
2093,2.425,3.805,0.315,0.021,0.031,0.003,56.44
2103,2.441,3.828,0.316,0.042,0.062,0.003,56.42
2113,2.456,3.848,0.316,0.039,0.059,0.003,56.39
2124,2.461,3.852,0.316,0.030,0.043,0.004,56.37
2134,2.464,3.851,0.317,0.027,0.038,0.004,56.34
2144,2.469,3.852,0.317,0.030,0.039,0.004,56.32
2154,2.479,3.859,0.318,0.035,0.046,0.004,56.29
2164,2.485,3.862,0.319,0.031,0.042,0.004,56.27
2174,2.484,3.854,0.319,0.024,0.031,0.004,56.24
2184,2.479,3.841,0.320,0.020,0.025,0.004,56.22
2194,2.483,3.840,0.320,0.029,0.038,0.004,56.19
2204,2.482,3.833,0.321,0.024,0.032,0.004,56.17
2214,2.478,3.822,0.321,0.021,0.028,0.004,56.14
2224,2.476,3.813,0.321,0.024,0.032,0.004,56.12
2234,2.441,3.758,0.322,0.017,0.029,0.004,56.09
2244,2.454,3.775,0.322,0.039,0.058,0.003,56.07
2254,2.473,3.802,0.322,0.044,0.065,0.003,56.04
2264,2.464,3.787,0.322,0.016,0.024,0.003,56.02
2274,2.456,3.777,0.322,0.017,0.028,0.003,55.99
2285,2.448,3.765,0.322,0.018,0.028,0.003,55.97
2295,2.431,3.744,0.321,0.009,0.018,0.003,55.94
2305,2.418,3.726,0.321,0.011,0.020,0.003,55.92
2315,2.403,3.707,0.321,0.013,0.023,0.003,55.89
2325,2.382,3.679,0.320,0.004,0.009,0.003,55.87
2335,2.375,3.673,0.320,0.018,0.032,0.003,55.84
2345,2.367,3.665,0.320,0.016,0.030,0.003,55.82
2355,2.356,3.654,0.319,0.013,0.026,0.003,55.79
2365,2.366,3.671,0.319,0.034,0.055,0.003,55.77
2375,2.353,3.656,0.319,0.017,0.029,0.003,55.74
2385,2.318,3.606,0.318,0.012,0.016,0.003,55.72
2395,2.310,3.596,0.318,0.015,0.028,0.003,55.69
2405,2.317,3.611,0.318,0.032,0.053,0.003,55.67
2415,2.288,3.568,0.318,0.009,0.013,0.003,55.64
2425,2.291,3.574,0.317,0.032,0.051,0.003,55.62
2435,2.278,3.554,0.317,0.017,0.028,0.003,55.59
2446,2.303,3.595,0.317,0.048,0.077,0.003,55.57
2456,2.303,3.597,0.317,0.024,0.039,0.003,55.54
2466,2.322,3.624,0.317,0.042,0.064,0.003,55.51
2476,2.301,3.593,0.317,0.012,0.020,0.003,55.49
2486,2.285,3.569,0.317,0.009,0.016,0.003,55.46
2496,2.270,3.545,0.317,0.023,0.037,0.003,55.44
2506,2.252,3.516,0.317,0.013,0.019,0.003,55.41
2516,2.272,3.547,0.317,0.042,0.066,0.003,55.39
2526,2.295,3.584,0.317,0.048,0.075,0.003,55.36
2536,2.307,3.600,0.317,0.035,0.053,0.003,55.34
2546,2.312,3.606,0.317,0.029,0.043,0.003,55.31
2556,2.331,3.632,0.318,0.043,0.064,0.004,55.29
2566,2.326,3.621,0.318,0.020,0.029,0.004,55.26
2576,2.301,3.579,0.318,0.006,0.012,0.004,55.23
2586,2.312,3.595,0.318,0.035,0.053,0.003,55.21
2596,2.322,3.609,0.318,0.034,0.051,0.003,55.18
2606,2.319,3.603,0.319,0.021,0.031,0.003,55.16
2617,2.310,3.588,0.319,0.016,0.025,0.003,55.13
2627,2.290,3.557,0.319,0.005,0.007,0.003,55.11
2637,2.285,3.548,0.319,0.018,0.028,0.003,55.08
2647,2.280,3.540,0.319,0.019,0.029,0.003,55.06
2657,2.272,3.527,0.319,0.015,0.023,0.003,55.03
2667,2.266,3.517,0.319,0.017,0.026,0.003,55.00
2677,2.248,3.492,0.319,0.020,0.037,0.003,54.98
2687,2.314,3.657,0.313,0.091,0.203,0.002,54.95
2697,2.471,3.891,0.314,0.186,0.276,0.005,54.93
2707,2.489,3.934,0.313,0.043,0.083,0.002,54.90
2717,2.471,3.904,0.313,0.013,0.021,0.003,54.88
2727,2.475,3.909,0.313,0.030,0.045,0.003,54.85
2737,2.477,3.911,0.314,0.027,0.042,0.003,54.83
2747,2.472,3.899,0.314,0.021,0.029,0.004,54.80
2757,2.472,3.898,0.314,0.026,0.040,0.003,54.78
2767,2.456,3.873,0.314,0.010,0.015,0.003,54.75
2778,2.439,3.844,0.314,0.009,0.014,0.003,54.72
2788,2.430,3.828,0.314,0.016,0.024,0.003,54.70
2798,2.436,3.835,0.314,0.031,0.046,0.003,54.67
2808,2.452,3.852,0.315,0.040,0.056,0.004,54.65
2818,2.457,3.854,0.316,0.031,0.041,0.004,54.62
2828,2.456,3.846,0.316,0.024,0.031,0.004,54.59
2838,2.451,3.836,0.316,0.020,0.030,0.003,54.57
2848,2.431,3.803,0.316,0.010,0.014,0.003,54.54
2858,2.417,3.781,0.317,0.011,0.016,0.003,54.52
2868,2.411,3.771,0.316,0.019,0.030,0.003,54.49
2878,2.401,3.753,0.317,0.014,0.021,0.003,54.47
2888,2.406,3.762,0.317,0.029,0.047,0.003,54.44
2898,2.414,3.773,0.317,0.033,0.049,0.003,54.41
2908,2.408,3.761,0.317,0.019,0.027,0.003,54.39
2918,2.419,3.776,0.317,0.036,0.054,0.003,54.36
2928,2.430,3.793,0.317,0.036,0.055,0.003,54.34
2939,2.438,3.806,0.317,0.033,0.052,0.003,54.31
2949,2.440,3.808,0.317,0.026,0.040,0.003,54.28
2959,2.434,3.799,0.317,0.019,0.030,0.003,54.26
2969,2.432,3.796,0.317,0.023,0.035,0.003,54.23
2979,2.423,3.781,0.317,0.017,0.027,0.003,54.21
2989,2.410,3.762,0.317,0.012,0.020,0.003,54.18
2999,2.413,3.768,0.317,0.028,0.044,0.003,54.15
3009,2.408,3.763,0.317,0.020,0.034,0.003,54.13
3019,2.391,3.737,0.317,0.010,0.015,0.003,54.10
3029,2.376,3.716,0.316,0.010,0.018,0.003,54.08
3039,2.370,3.710,0.316,0.018,0.031,0.003,54.05
3049,2.365,3.704,0.316,0.020,0.033,0.003,54.03
3059,2.351,3.688,0.315,0.010,0.021,0.003,54.00
3069,2.347,3.685,0.315,0.020,0.034,0.003,53.97
3079,2.349,3.693,0.315,0.026,0.045,0.003,53.95
3089,2.355,3.706,0.315,0.031,0.052,0.003,53.92
3100,2.360,3.719,0.314,0.029,0.050,0.003,53.90
3110,2.350,3.706,0.314,0.014,0.025,0.003,53.87
3120,2.334,3.685,0.314,0.011,0.019,0.003,53.84
3130,2.285,3.610,0.313,0.030,0.046,0.003,53.82
3140,2.267,3.583,0.313,0.008,0.014,0.003,53.79
3150,2.246,3.552,0.313,0.006,0.009,0.003,53.76
3160,2.233,3.532,0.313,0.011,0.019,0.003,53.74
3170,2.221,3.516,0.313,0.018,0.030,0.003,53.71
3180,2.183,3.460,0.312,0.021,0.031,0.003,53.69
3190,2.188,3.455,0.314,0.040,0.040,0.005,53.66
3200,2.225,3.488,0.316,0.060,0.068,0.006,53.63
3210,2.215,3.476,0.315,0.013,0.024,0.003,53.61
3220,2.187,3.436,0.315,0.012,0.016,0.003,53.58
3230,2.192,3.445,0.315,0.027,0.044,0.003,53.56
3240,2.180,3.433,0.314,0.012,0.024,0.003,53.53
3250,2.184,3.440,0.314,0.026,0.043,0.003,53.50
3260,2.176,3.429,0.314,0.015,0.024,0.003,53.48
3271,2.185,3.444,0.314,0.030,0.050,0.003,53.45
3281,2.195,3.462,0.314,0.033,0.054,0.003,53.42
3291,2.213,3.491,0.314,0.040,0.064,0.003,53.40
3301,2.205,3.483,0.313,0.017,0.030,0.003,53.37
3311,2.178,3.443,0.313,0.007,0.009,0.003,53.34
3321,2.162,3.419,0.313,0.007,0.014,0.003,53.32
3331,2.168,3.433,0.313,0.028,0.048,0.003,53.29
3341,2.175,3.445,0.312,0.029,0.047,0.003,53.27
3351,2.181,3.456,0.312,0.028,0.046,0.003,53.24
3361,2.178,3.453,0.312,0.020,0.034,0.003,53.21
3371,2.187,3.472,0.312,0.032,0.053,0.003,53.19
3381,2.187,3.470,0.312,0.021,0.034,0.003,53.16
3391,2.186,3.470,0.312,0.022,0.035,0.003,53.14
3401,2.167,3.439,0.312,0.009,0.015,0.003,53.11
3411,2.134,3.386,0.312,0.019,0.030,0.003,53.08
3421,2.092,3.318,0.312,0.022,0.037,0.003,53.06
3432,2.088,3.310,0.312,0.017,0.026,0.003,53.03
3442,2.093,3.317,0.312,0.027,0.042,0.003,53.00
3452,2.085,3.303,0.312,0.018,0.027,0.003,52.98
3462,2.126,3.369,0.312,0.064,0.101,0.003,52.95
3472,2.135,3.382,0.312,0.030,0.047,0.003,52.92
3482,2.139,3.390,0.312,0.028,0.046,0.003,52.90
3492,2.146,3.405,0.312,0.031,0.052,0.003,52.87
3502,2.154,3.417,0.312,0.031,0.048,0.003,52.84
3512,2.168,3.441,0.312,0.036,0.059,0.003,52.82
3522,2.151,3.417,0.312,0.011,0.018,0.003,52.79
3532,2.127,3.379,0.312,0.004,0.005,0.003,52.77
3542,2.121,3.371,0.312,0.017,0.026,0.003,52.74
3552,2.106,3.348,0.311,0.007,0.013,0.003,52.71
3562,2.082,3.311,0.311,0.010,0.015,0.003,52.69
3572,2.062,3.281,0.311,0.003,0.006,0.003,52.66
3582,2.026,3.224,0.311,0.022,0.034,0.003,52.63
3593,2.006,3.193,0.311,0.007,0.011,0.003,52.61
3603,2.008,3.196,0.311,0.025,0.040,0.003,52.58
3613,1.959,3.118,0.311,0.032,0.052,0.003,52.55
3623,1.913,3.042,0.311,0.033,0.054,0.003,52.53
3633,1.917,3.051,0.311,0.029,0.047,0.003,52.50
3643,1.949,3.101,0.311,0.052,0.082,0.003,52.47
3653,1.953,3.106,0.311,0.026,0.039,0.003,52.45
3663,1.942,3.089,0.311,0.013,0.021,0.003,52.42
3673,1.962,3.124,0.311,0.041,0.067,0.003,52.39
3683,1.938,3.088,0.311,0.007,0.008,0.003,52.37
3693,1.938,3.091,0.310,0.021,0.037,0.003,52.34
3703,1.945,3.108,0.310,0.027,0.048,0.003,52.31
3713,1.948,3.117,0.309,0.024,0.044,0.003,52.29
3723,1.954,3.133,0.309,0.028,0.049,0.003,52.26
3733,1.928,3.096,0.308,0.013,0.016,0.003,52.23
3743,1.906,3.065,0.308,0.005,0.005,0.003,52.21
3753,1.889,3.042,0.307,0.005,0.011,0.003,52.18
3764,1.856,2.991,0.307,0.018,0.027,0.003,52.15
3774,1.856,2.993,0.307,0.046,0.076,0.003,52.12
3784,1.788,2.887,0.307,0.052,0.080,0.003,52.10
3794,1.774,2.870,0.306,0.006,0.014,0.003,52.07
3804,1.788,2.898,0.305,0.033,0.059,0.003,52.05
3814,1.817,2.950,0.305,0.047,0.082,0.003,52.02
3824,1.803,2.931,0.305,0.008,0.014,0.003,51.99
3834,1.796,2.924,0.304,0.014,0.028,0.003,51.97
3844,1.827,2.978,0.304,0.049,0.084,0.003,51.94
3854,1.829,2.985,0.303,0.021,0.037,0.003,51.91
3864,1.837,3.000,0.303,0.027,0.046,0.003,51.88
3874,1.835,2.997,0.303,0.016,0.027,0.003,51.86
3884,1.827,2.987,0.303,0.015,0.025,0.003,51.83
3894,1.818,2.971,0.303,0.010,0.016,0.003,51.81
3904,1.822,2.978,0.303,0.023,0.038,0.003,51.78
3914,1.837,3.002,0.303,0.033,0.054,0.003,51.75
3925,1.852,3.025,0.303,0.035,0.055,0.003,51.72
3935,1.863,3.042,0.303,0.029,0.047,0.003,51.70
3945,1.881,3.071,0.303,0.040,0.064,0.003,51.67
