Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Upward_reflctd_radiation
.3050E+03 .6733E+00 .5396E-03 .1221E-02 .1406E-02 .1846E-03 .5396E-03 .8388E-03 .1378E-02 .5396E-03 .1221E-02 .5843E-04
.3055E+03 .6128E+00 .6748E-03 .1492E-02 .1723E-02 .2308E-03 .6748E-03 .1025E-02 .1700E-02 .6748E-03 .1492E-02 .7172E-04
.3060E+03 .5426E+00 .6792E-03 .1477E-02 .1709E-02 .2323E-03 .6792E-03 .1015E-02 .1694E-02 .6792E-03 .1477E-02 .7123E-04
.3065E+03 .5861E+00 .8957E-03 .1923E-02 .2229E-02 .3063E-03 .8957E-03 .1321E-02 .2217E-02 .8957E-03 .1923E-02 .9312E-04
.3070E+03 .6446E+00 .1471E-02 .3170E-02 .3673E-02 .5032E-03 .1471E-02 .2179E-02 .3650E-02 .1471E-02 .3170E-02 .1537E-03
.3075E+03 .6519E+00 .2129E-02 .4676E-02 .5404E-02 .7282E-03 .2129E-02 .3213E-02 .5342E-02 .2129E-02 .4676E-02 .2265E-03
.3080E+03 .6567E+00 .2295E-02 .5526E-02 .6311E-02 .7850E-03 .2295E-02 .3796E-02 .6091E-02 .2295E-02 .5526E-02 .2642E-03
.3085E+03 .6806E+00 .2832E-02 .6471E-02 .7440E-02 .9686E-03 .2832E-02 .4447E-02 .7279E-02 .2832E-02 .6471E-02 .3122E-03
.3090E+03 .5623E+00 .2685E-02 .5881E-02 .6800E-02 .9185E-03 .2685E-02 .4042E-02 .6727E-02 .2685E-02 .5881E-02 .2859E-03
.3095E+03 .5136E+00 .3554E-02 .7159E-02 .8375E-02 .1216E-02 .3554E-02 .4922E-02 .8476E-02 .3554E-02 .7159E-02 .3534E-03
.3100E+03 .4651E+00 .3821E-02 .7385E-02 .8692E-02 .1307E-02 .3821E-02 .5078E-02 .8899E-02 .3821E-02 .7385E-02 .3675E-03
.3105E+03 .7149E+00 .6420E-02 .1208E-01 .1428E-01 .2196E-02 .6420E-02 .8310E-02 .1473E-01 .6420E-02 .1208E-01 .6052E-03
.3110E+03 .8241E+00 .8510E-02 .1550E-01 .1841E-01 .2911E-02 .8510E-02 .1066E-01 .1917E-01 .8510E-02 .1550E-01 .7822E-03
.3115E+03 .7648E+00 .8456E-02 .1505E-01 .1794E-01 .2892E-02 .8456E-02 .1036E-01 .1881E-01 .8456E-02 .1505E-01 .7641E-03
.3120E+03 .6421E+00 .9272E-02 .1584E-01 .1901E-01 .3171E-02 .9272E-02 .1090E-01 .2017E-01 .9272E-02 .1584E-01 .8118E-03
.3125E+03 .6970E+00 .1196E-01 .1990E-01 .2399E-01 .4092E-02 .1196E-01 .1370E-01 .2566E-01 .1196E-01 .1990E-01 .1028E-02
.3130E+03 .7115E+00 .1342E-01 .2189E-01 .2648E-01 .4591E-02 .1342E-01 .1507E-01 .2849E-01 .1342E-01 .2189E-01 .1138E-02
.3135E+03 .7257E+00 .1288E-01 .2077E-01 .2517E-01 .4406E-02 .1288E-01 .1430E-01 .2718E-01 .1288E-01 .2077E-01 .1084E-02
.3140E+03 .7936E+00 .1717E-01 .2706E-01 .3293E-01 .5871E-02 .1717E-01 .1863E-01 .3580E-01 .1717E-01 .2706E-01 .1423E-02
.3145E+03 .5931E+00 .1633E-01 .2537E-01 .3095E-01 .5583E-02 .1633E-01 .1747E-01 .3380E-01 .1633E-01 .2537E-01 .1340E-02
.3150E+03 .7541E+00 .2188E-01 .3351E-01 .4099E-01 .7482E-02 .2188E-01 .2308E-01 .4495E-01 .2188E-01 .3351E-01 .1778E-02
.3155E+03 .6804E+00 .1802E-01 .2709E-01 .3325E-01 .6162E-02 .1802E-01 .1866E-01 .3668E-01 .1802E-01 .2709E-01 .1445E-02
.3160E+03 .5183E+00 .1665E-01 .2479E-01 .3049E-01 .5693E-02 .1665E-01 .1708E-01 .3373E-01 .1665E-01 .2479E-01 .1327E-02
.3165E+03 .6632E+00 .2495E-01 .3703E-01 .4556E-01 .8533E-02 .2495E-01 .2552E-01 .5047E-01 .2495E-01 .3703E-01 .2011E-02
.3170E+03 .8229E+00 .3121E-01 .4568E-01 .5636E-01 .1068E-01 .3121E-01 .3150E-01 .6271E-01 .3121E-01 .4568E-01 .2523E-02
.3175E+03 .8804E+00 .3254E-01 .4675E-01 .5788E-01 .1113E-01 .3254E-01 .3225E-01 .6479E-01 .3254E-01 .4675E-01 .2627E-02
