286	0	0	0.33	1.10	1.66
287	0	0	0.33	1.09	1.66
288	0	0	0.33	1.09	1.66
289	149.01	65.04	0.33	1.09	1.66
290	0	0	0.33	1.09	1.65
291	0	0	0.33	1.09	1.65
292	0	0	0.33	1.09	1.65
293	0	0	0.33	1.09	1.65
294	0	0	0.33	1.09	1.65
295	0	0	0.33	1.09	1.65
296	0	0	0.33	1.09	1.65
297	0	0	0.33	1.09	1.65
298	0	0	0.33	1.09	1.65
299	149.09	65.06	0.33	1.09	1.66
300	0	0	0.33	1.09	1.66
301	0	0	0.33	1.09	1.66
302	0	0	0.33	1.09	1.66
303	0	0	0.33	1.09	1.66
304	0	0	0.33	1.09	1.65
305	0	0	0.33	1.09	1.65
306	0	0	0.33	1.09	1.65
307	0	0	0.33	1.09	1.65
308	0	0	0.33	1.09	1.65
309	149.17	65.07	0.33	1.09	1.65
310	0	0	0.33	1.09	1.65
311	0	0	0.33	1.09	1.65
312	0	0	0.33	1.09	1.65
313	0	0	0.33	1.09	1.65
314	0	0	0.33	1.09	1.65
315	0	0	0.33	1.09	1.65
316	0	0	0.33	1.09	1.65
317	0	0	0.33	1.09	1.65
318	0	0	0.33	1.09	1.65
319	149.26	65.09	0.33	1.09	1.64
320	0	0	0.33	1.09	1.65
321	0	0	0.33	1.09	1.65
322	0	0	0.33	1.09	1.65
323	0	0	0.33	1.09	1.65
324	0	0	0.33	1.09	1.64
325	0	0	0.33	1.09	1.64
326	0	0	0.33	1.09	1.64
327	0	0	0.33	1.09	1.64
328	0	0	0.33	1.08	1.64
329	149.34	65.10	0.33	1.08	1.64
330	0	0	0.33	1.09	1.64
331	0	0	0.33	1.08	1.63
332	0	0	0.33	1.08	1.63
333	0	0	0.33	1.09	1.63
334	0	0	0.33	1.08	1.64
335	0	0	0.33	1.09	1.64
336	0	0	0.33	1.09	1.64
337	0	0	0.33	1.09	1.64
338	0	0	0.33	1.09	1.65
339	149.42	65.12	0.33	1.09	1.65
340	0	0	0.33	1.09	1.65
341	0	0	0.33	1.09	1.65
342	0	0	0.33	1.09	1.66
343	0	0	0.33	1.09	1.66
344	0	0	0.33	1.09	1.65
345	0	0	0.33	1.09	1.66
346	0	0	0.33	1.10	1.66
347	0	0	0.33	1.09	1.66
348	0	0	0.33	1.10	1.66
349	149.51	65.13	0.33	1.10	1.66
350	0	0	0.33	1.10	1.66
351	0	0	0.33	1.10	1.66
352	0	0	0.33	1.10	1.66
353	0	0	0.33	1.11	1.66
354	0	0	0.33	1.10	1.67
355	0	0	0.33	1.11	1.67
356	0	0	0.33	1.11	1.68
357	0	0	0.33	1.11	1.67
358	0	0	0.33	1.11	1.67
359	149.59	65.15	0.33	1.11	1.67
360	0	0	0.33	1.11	1.68
361	0	0	0.33	1.11	1.68
362	0	0	0.33	1.11	1.68
363	0	0	0.33	1.11	1.68
364	0	0	0.33	1.11	1.67
365	0	0	0.33	1.11	1.67
366	0	0	0.33	1.11	1.67
367	0	0	0.33	1.11	1.67
368	0	0	0.33	1.10	1.66
369	149.68	65.16	0.33	1.10	1.66
370	0	0	0.33	1.10	1.66
371	0	0	0.33	1.10	1.65
372	0	0	0.33	1.09	1.65
373	0	0	0.33	1.09	1.65
374	0	0	0.33	1.09	1.65
375	0	0	0.33	1.09	1.64
376	0	0	0.33	1.09	1.64
377	0	0	0.33	1.09	1.64
378	0	0	0.33	1.09	1.64
379	149.76	65.17	0.33	1.09	1.64
380	0	0	0.33	1.09	1.63
381	0	0	0.33	1.09	1.64
382	0	0	0.33	1.09	1.64
383	0	0	0.33	1.09	1.64
384	0	0	0.33	1.09	1.64
385	0	0	0.33	1.09	1.63
386	0	0	0.33	1.09	1.63
387	0	0	0.33	1.09	1.63
388	0	0	0.33	1.09	1.63
389	149.84	65.19	0.33	1.08	1.63
390	0	0	0.33	1.08	1.63
391	0	0	0.33	1.08	1.63
392	0	0	0.33	1.08	1.63
393	0	0	0.33	1.08	1.62
394	0	0	0.33	1.08	1.62
395	0	0	0.33	1.08	1.62
396	0	0	0.33	1.07	1.61
397	0	0	0.33	1.07	1.60
398	0	0	0.33	1.07	1.60
399	149.93	65.20	0.33	1.06	1.60
400	0	0	0.33	1.06	1.59
401	0	0	0.33	1.06	1.59
402	0	0	0.33	1.06	1.59
403	0	0	0.33	1.06	1.59
404	0	0	0.33	1.06	1.59
405	0	0	0.33	1.06	1.58
406	0	0	0.33	1.06	1.59
407	0	0	0.33	1.06	1.58
408	0	0	0.33	1.06	1.58
409	150.01	65.22	0.33	1.06	1.58
410	0	0	0.33	1.05	1.58
411	0	0	0.33	1.05	1.57
412	0	0	0.33	1.05	1.57
413	0	0	0.33	1.05	1.57
414	0	0	0.33	1.05	1.57
415	0	0	0.33	1.05	1.57
416	0	0	0.33	1.05	1.58
417	0	0	0.33	1.05	1.58
418	0	0	0.33	1.05	1.57
419	150.10	65.23	0.33	1.05	1.57
420	0	0	0.33	1.05	1.57
421	0	0	0.33	1.05	1.57
422	0	0	0.33	1.04	1.56
423	0	0	0.33	1.04	1.56
424	0	0	0.33	1.04	1.56
425	0	0	0.33	1.04	1.56
426	0	0	0.33	1.04	1.56
427	0	0	0.33	1.04	1.56
428	0	0	0.33	1.04	1.56
429	150.18	65.25	0.33	1.04	1.56
