471,0.074,0.037,1.008,0.001,0.002,0.066
473,0.073,0.037,0.984,0.000,0.002,0.068
475,0.073,0.037,1.004,0.000,0.003,0.070
477,0.074,0.038,0.974,0.001,0.002,0.065
479,0.073,0.037,1.004,0.000,0.003,0.074
481,0.073,0.037,0.991,0.000,0.002,0.067
483,0.073,0.036,1.018,0.000,0.003,0.071
485,0.073,0.037,0.984,0.000,0.003,0.072
487,0.073,0.037,0.998,0.000,0.002,0.068
489,0.073,0.036,1.031,0.000,0.003,0.070
491,0.073,0.036,1.025,0.000,0.002,0.064
493,0.073,0.037,0.991,0.000,0.003,0.074
495,0.073,0.036,1.025,0.000,0.003,0.072
497,0.073,0.036,1.018,0.000,0.002,0.066
499,0.073,0.035,1.038,0.000,0.002,0.061
501,0.073,0.037,0.988,0.002,0.003,0.092
503,0.073,0.035,1.045,0.001,0.003,0.078
505,0.073,0.035,1.038,0.000,0.002,0.058
508,0.073,0.036,1.028,0.001,0.002,0.062
510,0.073,0.035,1.034,0.001,0.002,0.058
512,0.073,0.036,1.028,0.001,0.002,0.061
514,0.073,0.035,1.034,0.001,0.002,0.058
516,0.073,0.035,1.031,0.001,0.002,0.065
518,0.073,0.035,1.048,0.002,0.002,0.055
520,0.072,0.035,1.027,0.002,0.002,0.064
522,0.073,0.035,1.058,0.001,0.002,0.051
524,0.073,0.035,1.047,0.002,0.001,0.046
526,0.072,0.036,1.018,0.002,0.002,0.082
528,0.072,0.035,1.024,0.002,0.002,0.067
530,0.071,0.034,1.037,0.002,0.001,0.052
532,0.072,0.035,1.033,0.002,0.001,0.046
534,0.071,0.035,1.019,0.002,0.002,0.049
536,0.072,0.035,1.034,0.002,0.001,0.063
538,0.072,0.034,1.057,0.002,0.000,0.037
540,0.071,0.035,1.023,0.003,0.002,0.069
542,0.072,0.035,1.027,0.002,0.002,0.057
544,0.071,0.035,1.023,0.003,0.001,0.053
546,0.071,0.035,1.022,0.002,0.001,0.044
548,0.070,0.034,1.012,0.002,0.001,0.045
550,0.071,0.034,1.032,0.003,0.000,0.041
552,0.071,0.034,1.032,0.002,0.000,0.036
555,0.070,0.034,1.025,0.002,0.000,0.035
557,0.070,0.034,1.021,0.002,0.000,0.033
559,0.070,0.034,1.025,0.002,0.000,0.034
561,0.070,0.034,1.018,0.002,0.000,0.032
563,0.070,0.034,1.021,0.002,0.000,0.033
565,0.069,0.034,1.014,0.002,0.000,0.029
567,0.069,0.034,1.023,0.002,0.001,0.044
569,0.070,0.034,1.021,0.002,0.000,0.033
571,0.071,0.034,1.039,0.003,0.000,0.040
573,0.070,0.034,1.018,0.003,0.000,0.038
575,0.069,0.034,1.023,0.002,0.001,0.058
577,0.069,0.034,1.024,0.002,0.001,0.052
579,0.070,0.034,1.021,0.002,0.000,0.033
581,0.069,0.034,1.023,0.002,0.001,0.044
583,0.070,0.034,1.018,0.002,0.000,0.031
585,0.069,0.034,1.012,0.001,0.001,0.039
587,0.069,0.034,1.015,0.001,0.001,0.041
589,0.069,0.034,1.004,0.001,0.000,0.020
591,0.068,0.034,1.008,0.000,0.001,0.037
593,0.068,0.034,1.008,0.000,0.001,0.036
595,0.068,0.034,1.000,0.000,0.000,0.008
597,0.068,0.034,1.000,0.000,0.000,0.000
599,0.068,0.034,1.000,0.000,0.000,0.000
602,0.069,0.034,1.004,0.001,0.000,0.016
604,0.069,0.034,1.004,0.002,0.000,0.027
606,0.069,0.034,1.012,0.002,0.001,0.046
608,0.068,0.033,1.033,0.000,0.002,0.070
610,0.069,0.034,1.004,0.001,0.001,0.034
612,0.069,0.034,1.020,0.001,0.002,0.054
614,0.068,0.034,1.017,0.000,0.001,0.050
616,0.068,0.034,1.010,0.002,0.001,0.057
618,0.068,0.033,1.018,0.001,0.002,0.067
620,0.069,0.033,1.029,0.001,0.002,0.061
622,0.068,0.034,1.008,0.000,0.001,0.042
624,0.068,0.034,1.008,0.000,0.001,0.036
626,0.068,0.034,1.017,0.000,0.001,0.051
628,0.068,0.034,1.010,0.002,0.001,0.057
630,0.068,0.034,1.006,0.002,0.001,0.059
