225,2.000,0.968,1.033,0.004,0.002,0.002
227,1.996,0.966,1.033,0.005,0.003,0.002
230,1.993,0.964,1.034,0.004,0.003,0.002
El: -63.77
232,1.990,0.963,1.034,0.004,0.001,0.002
234,1.987,0.961,1.034,0.004,0.003,0.003
236,1.981,0.957,1.035,0.006,0.004,0.002
238,1.977,0.956,1.034,0.005,0.003,0.003
240,1.971,0.953,1.034,0.006,0.003,0.001
El: -63.75
242,1.966,0.952,1.033,0.006,0.003,0.003
244,1.962,0.949,1.034,0.005,0.003,0.002
246,1.959,0.947,1.034,0.003,0.002,0.002
248,1.954,0.945,1.034,0.006,0.004,0.003
250,1.943,0.939,1.034,0.012,0.006,0.003
El: -63.73
252,1.944,0.941,1.033,0.004,0.003,0.003
254,1.946,0.941,1.034,0.004,0.002,0.003
256,1.933,0.935,1.033,0.014,0.006,0.003
258,1.911,0.923,1.035,0.024,0.013,0.003
260,1.904,0.921,1.033,0.009,0.003,0.003
El: -63.71
262,1.920,0.930,1.032,0.017,0.009,0.003
264,1.906,0.923,1.032,0.015,0.008,0.003
266,1.884,0.911,1.034,0.023,0.013,0.003
268,1.885,0.912,1.033,0.013,0.007,0.003
270,1.923,0.933,1.031,0.038,0.021,0.003
El: -63.70
272,1.926,0.934,1.031,0.003,0.002,0.002
274,1.926,0.934,1.031,0.001,0.001,0.002
277,1.917,0.930,1.031,0.011,0.005,0.002
279,1.898,0.920,1.031,0.019,0.010,0.002
281,1.897,0.919,1.032,0.002,0.002,0.002
El: -63.68
283,1.885,0.913,1.032,0.015,0.008,0.002
285,1.836,0.886,1.035,0.050,0.027,0.004
287,1.841,0.889,1.035,0.006,0.004,0.002
289,1.854,0.897,1.033,0.014,0.009,0.003
El: -63.66
291,1.829,0.884,1.035,0.028,0.015,0.003
293,1.817,0.877,1.035,0.014,0.008,0.003
295,1.851,0.896,1.033,0.036,0.020,0.004
297,1.861,0.901,1.033,0.010,0.005,0.003
299,1.838,0.890,1.033,0.024,0.012,0.002
El: -63.65
301,1.820,0.880,1.034,0.019,0.010,0.002
303,1.828,0.885,1.033,0.009,0.006,0.003
305,1.848,0.896,1.031,0.022,0.012,0.003
307,1.867,0.906,1.031,0.019,0.010,0.003
309,1.866,0.905,1.031,0.002,0.002,0.002
El: -63.63
311,1.866,0.905,1.031,0.002,0.002,0.002
313,1.862,0.904,1.030,0.004,0.001,0.002
315,1.858,0.902,1.030,0.005,0.003,0.003
317,1.854,0.900,1.030,0.005,0.002,0.002
319,1.852,0.899,1.030,0.003,0.001,0.001
El: -63.61
321,1.852,0.899,1.030,0.002,0.001,0.002
324,1.851,0.899,1.030,0.003,0.001,0.002
326,1.850,0.897,1.031,0.003,0.003,0.003
328,1.848,0.896,1.032,0.003,0.003,0.003
330,1.845,0.894,1.031,0.010,0.006,0.003
El: -63.60
332,1.794,0.865,1.038,0.081,0.047,0.010
334,1.501,0.714,1.051,0.330,0.168,0.014
336,1.117,0.529,1.055,0.389,0.187,0.005
338,0.984,0.468,1.051,0.133,0.062,0.005
340,0.967,0.460,1.052,0.023,0.011,0.003
El: -63.58
342,0.929,0.442,1.051,0.040,0.019,0.003
344,0.926,0.441,1.050,0.009,0.004,0.004
346,0.928,0.443,1.049,0.003,0.003,0.006
348,0.930,0.443,1.050,0.004,0.002,0.006
350,0.928,0.442,1.050,0.006,0.003,0.005
El: -63.56
352,0.930,0.443,1.049,0.007,0.004,0.004
354,0.933,0.444,1.051,0.005,0.003,0.005
356,0.933,0.444,1.050,0.006,0.003,0.003
358,0.933,0.445,1.049,0.001,0.000,0.001
360,0.932,0.444,1.051,0.002,0.002,0.006
El: -63.54
362,0.933,0.445,1.050,0.001,0.001,0.003
364,0.934,0.445,1.049,0.000,0.000,0.000
366,0.934,0.445,1.049,0.000,0.000,0.000
369,0.934,0.445,1.049,0.000,0.000,0.000
371,0.935,0.445,1.051,0.002,0.000,0.003
El: -63.53
373,0.935,0.445,1.051,0.002,0.000,0.003
375,0.938,0.446,1.053,0.003,0.002,0.004
377,0.941,0.448,1.051,0.005,0.003,0.005
379,0.933,0.443,1.053,0.010,0.006,0.005
381,0.924,0.440,1.051,0.009,0.004,0.004
El: -63.51
383,0.924,0.440,1.050,0.001,0.000,0.001
385,0.926,0.440,1.052,0.003,0.000,0.003
387,0.928,0.440,1.054,0.003,0.001,0.004
389,0.928,0.441,1.052,0.002,0.003,0.006
El: -63.49
391,0.930,0.441,1.053,0.004,0.003,0.005
393,0.929,0.442,1.051,0.006,0.004,0.006
395,0.931,0.443,1.051,0.005,0.004,0.005
397,0.932,0.444,1.051,0.003,0.002,0.006
399,0.932,0.443,1.052,0.002,0.002,0.006
El: -63.48
401,0.934,0.443,1.054,0.001,0.002,0.006
403,0.934,0.444,1.051,0.000,0.002,0.005
405,0.934,0.445,1.050,0.001,0.000,0.001
407,0.934,0.445,1.050,0.001,0.000,0.001
409,0.930,0.442,1.053,0.005,0.004,0.005
El: -63.46
411,0.930,0.441,1.055,0.002,0.002,0.005
413,0.933,0.443,1.054,0.003,0.003,0.006
416,0.932,0.442,1.054,0.002,0.002,0.005
418,0.933,0.443,1.053,0.001,0.002,0.005
420,0.933,0.443,1.052,0.002,0.002,0.004
El: -63.44
422,0.932,0.442,1.054,0.002,0.003,0.007
424,0.929,0.441,1.054,0.003,0.002,0.005
426,0.927,0.440,1.054,0.004,0.001,0.003
428,0.928,0.441,1.053,0.002,0.002,0.005
430,0.918,0.436,1.054,0.012,0.006,0.004
El: -63.42
432,0.916,0.435,1.053,0.004,0.001,0.004
434,0.915,0.435,1.052,0.002,0.000,0.003
436,0.914,0.434,1.053,0.003,0.002,0.005
438,0.915,0.434,1.053,0.003,0.002,0.005
440,0.923,0.437,1.056,0.008,0.004,0.006
El: -63.41
442,0.923,0.437,1.055,0.002,0.002,0.005
444,0.923,0.437,1.055,0.002,0.002,0.005
446,0.924,0.440,1.050,0.001,0.002,0.005
448,0.924,0.439,1.051,0.001,0.002,0.004
450,0.922,0.438,1.053,0.003,0.003,0.007
El: -63.39
452,0.924,0.439,1.052,0.002,0.002,0.005
454,0.924,0.440,1.051,0.002,0.001,0.003
456,0.923,0.438,1.054,0.002,0.003,0.006
458,0.924,0.439,1.052,0.001,0.002,0.005
460,0.921,0.436,1.055,0.004,0.003,0.004
El: -63.37
463,0.913,0.433,1.055,0.009,0.004,0.006
465,0.914,0.434,1.053,0.003,0.002,0.004
467,0.919,0.436,1.054,0.005,0.003,0.004
469,0.924,0.439,1.051,0.005,0.004,0.004
471,0.924,0.438,1.055,0.000,0.003,0.007
El: -63.35
473,0.924,0.439,1.052,0.000,0.002,0.005
475,0.924,0.439,1.053,0.000,0.002,0.005
477,0.923,0.437,1.056,0.002,0.003,0.006
479,0.923,0.437,1.057,0.001,0.002,0.006
El: -63.34
481,0.923,0.437,1.055,0.001,0.002,0.006
483,0.924,0.438,1.055,0.000,0.002,0.006
485,0.922,0.437,1.054,0.003,0.003,0.006
487,0.915,0.434,1.054,0.008,0.004,0.004
489,0.906,0.431,1.053,0.009,0.004,0.006
El: -63.32
491,0.908,0.431,1.054,0.005,0.003,0.005
493,0.920,0.436,1.055,0.012,0.006,0.005
495,0.920,0.437,1.054,0.002,0.002,0.006
497,0.920,0.436,1.053,0.002,0.002,0.006
499,0.921,0.436,1.057,0.003,0.002,0.007
El: -63.30
501,0.919,0.436,1.054,0.003,0.002,0.006
503,0.919,0.436,1.054,0.000,0.002,0.004
505,0.920,0.435,1.056,0.002,0.001,0.004
508,0.922,0.437,1.054,0.003,0.003,0.007
510,0.923,0.437,1.057,0.002,0.002,0.007
El: -63.28
512,0.924,0.437,1.056,0.001,0.002,0.006
514,0.924,0.437,1.057,0.001,0.002,0.006
516,0.925,0.439,1.054,0.003,0.003,0.005
518,0.928,0.440,1.055,0.004,0.001,0.003
520,0.929,0.440,1.055,0.000,0.001,0.003
El: -63.27
522,0.929,0.440,1.055,0.000,0.001,0.003
524,0.930,0.440,1.056,0.002,0.001,0.005
526,0.930,0.441,1.056,0.002,0.002,0.006
528,0.924,0.439,1.053,0.008,0.003,0.007
530,0.925,0.438,1.056,0.004,0.003,0.007
El: -63.25
532,0.932,0.441,1.056,0.007,0.004,0.005
534,0.932,0.442,1.056,0.002,0.002,0.006
536,0.932,0.441,1.057,0.002,0.002,0.005
538,0.932,0.441,1.057,0.002,0.002,0.005
540,0.931,0.441,1.055,0.003,0.002,0.005
El: -63.23
542,0.933,0.443,1.053,0.002,0.003,0.006
544,0.933,0.442,1.056,0.001,0.003,0.006
546,0.931,0.441,1.055,0.004,0.002,0.005
548,0.933,0.442,1.056,0.003,0.002,0.006
550,0.934,0.442,1.056,0.000,0.002,0.006
El: -63.21
552,0.933,0.442,1.056,0.001,0.002,0.006
555,0.934,0.443,1.054,0.001,0.003,0.006
557,0.934,0.443,1.054,0.001,0.002,0.006
559,0.934,0.444,1.052,0.000,0.002,0.005
561,0.934,0.443,1.055,0.000,0.003,0.006
El: -63.19
563,0.934,0.444,1.052,0.000,0.002,0.006
565,0.934,0.443,1.054,0.000,0.003,0.006
567,0.935,0.442,1.057,0.003,0.002,0.006
569,0.937,0.444,1.056,0.003,0.002,0.005
571,0.938,0.445,1.055,0.002,0.001,0.003
El: -63.18
573,0.938,0.445,1.055,0.001,0.000,0.001
575,0.938,0.445,1.055,0.000,0.000,0.000
577,0.939,0.445,1.055,0.001,0.001,0.003
579,0.940,0.445,1.056,0.003,0.001,0.004
El: -63.16
581,0.941,0.446,1.055,0.003,0.002,0.006
583,0.943,0.446,1.057,0.002,0.002,0.005
585,0.943,0.447,1.056,0.001,0.003,0.006
587,0.943,0.446,1.056,0.001,0.002,0.005
589,0.943,0.447,1.055,0.000,0.003,0.006
El: -63.14
591,0.943,0.447,1.055,0.000,0.002,0.006
593,0.944,0.447,1.056,0.002,0.002,0.007
595,0.944,0.448,1.053,0.001,0.003,0.006
597,0.944,0.447,1.054,0.001,0.003,0.006
599,0.944,0.448,1.053,0.001,0.002,0.005
El: -63.12
602,0.897,0.425,1.055,0.066,0.032,0.006
604,0.851,0.404,1.052,0.046,0.021,0.006
606,0.851,0.403,1.055,0.002,0.003,0.008
608,0.851,0.404,1.054,0.002,0.002,0.007
610,0.852,0.404,1.055,0.002,0.002,0.007
El: -63.11
612,0.851,0.405,1.052,0.002,0.002,0.006
614,0.852,0.404,1.054,0.003,0.002,0.007
616,0.853,0.405,1.053,0.003,0.002,0.006
618,0.854,0.404,1.056,0.002,0.002,0.007
