COLUMN_1 COLUMN_2 COLUMN_3 COLUMN_4 COLUMN_5 COLUMN_6 COLUMN_7 COLUMN_8 COLUMN_9 COLUMN_10 COLUMN_11 COLUMN_12
213.790 6.99182E-19 8.14286E-19 8.54212E-19 7.93601E-19 8.65435E-19 8.04717E-19 8.14192E-19 7.87827E-19 8.77016E-19 8.65488E-19 8.48999E-19
213.800 7.58212E-19 8.06171E-19 7.92473E-19 8.09790E-19 8.51644E-19 7.97000E-19 8.07631E-19 7.97850E-19 8.64001E-19 8.25953E-19 8.97729E-19
213.810 7.53440E-19 8.45043E-19 8.27738E-19 8.08704E-19 8.23425E-19 8.82096E-19 8.05898E-19 8.36782E-19 8.56527E-19 8.86795E-19 9.00356E-19
213.820 7.60430E-19 8.36033E-19 8.59332E-19 8.20867E-19 8.44734E-19 8.34569E-19 8.28716E-19 8.20272E-19 9.27605E-19 8.24696E-19 9.22662E-19
213.830 7.11844E-19 7.81751E-19 8.73814E-19 7.98522E-19 8.61234E-19 8.37485E-19 8.28653E-19 8.39288E-19 9.55458E-19 8.38441E-19 8.84626E-19
213.840 7.02860E-19 8.43006E-19 8.13699E-19 8.09873E-19 8.28562E-19 8.28195E-19 8.40435E-19 8.54949E-19 9.07652E-19 8.74224E-19 8.78079E-19
213.850 7.68453E-19 8.15867E-19 7.65244E-19 8.49124E-19 8.56933E-19 8.48206E-19 8.62979E-19 8.02138E-19 8.12975E-19 8.44771E-19 8.84649E-19
213.860 7.85477E-19 8.25538E-19 8.30972E-19 8.81896E-19 8.60495E-19 7.99418E-19 8.52873E-19 8.63239E-19 8.86719E-19 8.20970E-19 8.93470E-19
213.870 7.30897E-19 8.20195E-19 8.45921E-19 8.33900E-19 8.32210E-19 8.04836E-19 8.86881E-19 8.74493E-19 9.60674E-19 8.73357E-19 8.94070E-19
213.880 7.57635E-19 8.29928E-19 9.06465E-19 8.28359E-19 8.32292E-19 7.95068E-19 8.69150E-19 8.14458E-19 9.40116E-19 8.17697E-19 9.39341E-19
213.890 7.86980E-19 8.22611E-19 8.53794E-19 7.98402E-19 8.06682E-19 8.45133E-19 9.55782E-19 8.32927E-19 9.94410E-19 8.64700E-19 8.96906E-19
213.900 7.39474E-19 8.36918E-19 8.65926E-19 8.53036E-19 8.69692E-19 8.49069E-19 9.40084E-19 8.20350E-19 9.24145E-19 8.12405E-19 8.83389E-19
213.910 7.20951E-19 9.03526E-19 8.07368E-19 7.94625E-19 8.31519E-19 8.41880E-19 8.26178E-19 8.04662E-19 9.67173E-19 8.00044E-19 8.92367E-19
213.920 7.72774E-19 8.99861E-19 8.94720E-19 8.35022E-19 8.87941E-19 8.16707E-19 8.97052E-19 7.80165E-19 9.45371E-19 8.57039E-19 8.95159E-19
213.930 7.97134E-19 8.97045E-19 9.00891E-19 8.44363E-19 8.68097E-19 8.68847E-19 9.28888E-19 7.63864E-19 8.95275E-19 8.23020E-19 8.95672E-19
213.940 7.73144E-19 8.60031E-19 7.73096E-19 8.41675E-19 8.68710E-19 8.53375E-19 8.75549E-19 8.18841E-19 9.05544E-19 8.42198E-19 8.77741E-19
213.950 7.27101E-19 8.40595E-19 8.46632E-19 9.13057E-19 8.36185E-19 8.38080E-19 8.79489E-19 8.42036E-19 8.98274E-19 8.04104E-19 8.98888E-19
213.960 7.09825E-19 8.42447E-19 8.40544E-19 8.61528E-19 8.59588E-19 8.49893E-19 8.91483E-19 8.36845E-19 9.61448E-19 8.42605E-19 8.61380E-19
213.970 7.12205E-19 8.56943E-19 8.28608E-19 8.47555E-19 8.95776E-19 8.31704E-19 8.49082E-19 8.70470E-19 8.82885E-19 8.03606E-19 8.45474E-19
213.980 7.83473E-19 8.76218E-19 8.36074E-19 8.01168E-19 8.63591E-19 8.38473E-19 8.66262E-19 8.36447E-19 8.55118E-19 8.44594E-19 9.25731E-19
213.990 7.73305E-19 8.65687E-19 8.91668E-19 8.65178E-19 8.38454E-19 8.73193E-19 8.61360E-19 8.30095E-19 9.00286E-19 8.76518E-19 9.25011E-19
214.000 8.96047E-19 8.61016E-19 9.22055E-19 8.34585E-19 8.52346E-19 8.89156E-19 8.48487E-19 8.18975E-19 8.93504E-19 8.53014E-19 9.21134E-19
214.010 8.19619E-19 8.11371E-19 8.92135E-19 8.70761E-19 8.50870E-19 8.56531E-19 9.44707E-19 8.28804E-19 9.21240E-19 8.38068E-19 8.64824E-19
214.020 7.56408E-19 8.82261E-19 9.19631E-19 8.96716E-19 8.97032E-19 8.41125E-19 8.76622E-19 8.07474E-19 8.89783E-19 8.25245E-19 8.78307E-19
214.030 8.72289E-19 8.42682E-19 8.44874E-19 8.53147E-19 8.71934E-19 7.97698E-19 9.40506E-19 8.15005E-19 9.25888E-19 8.72791E-19 9.11610E-19
214.040 7.92086E-19 8.71353E-19 8.70590E-19 8.80081E-19 8.53995E-19 8.05957E-19 8.96276E-19 7.82798E-19 8.90074E-19 8.87920E-19 8.88921E-19
214.050 7.28033E-19 9.14902E-19 9.02747E-19 8.70273E-19 8.35767E-19 8.61208E-19 9.01908E-19 7.76194E-19 9.00719E-19 8.43424E-19 9.15933E-19
214.060 7.56104E-19 8.83988E-19 8.69363E-19 8.65785E-19 8.20445E-19 8.44197E-19 8.59277E-19 7.97701E-19 9.22167E-19 8.86896E-19 8.98046E-19
214.070 7.89703E-19 8.38381E-19 8.57998E-19 8.37510E-19 8.48691E-19 8.16223E-19 8.79266E-19 7.93217E-19 9.20142E-19 8.80121E-19 9.40220E-19
214.080 7.24816E-19 8.86609E-19 9.35212E-19 8.79203E-19 8.43134E-19 7.64651E-19 8.58780E-19 7.86711E-19 9.03049E-19 8.65805E-19 8.77716E-19
214.090 7.58005E-19 8.44296E-19 9.33243E-19 8.54899E-19 8.26643E-19 8.23795E-19 8.59154E-19 8.28250E-19 9.36911E-19 9.01592E-19 8.61677E-19
214.100 7.94593E-19 8.36449E-19 9.42230E-19 8.79117E-19 8.49159E-19 8.08515E-19 8.46313E-19 8.30728E-19 9.57190E-19 9.07653E-19 8.71193E-19
214.110 8.09696E-19 9.01620E-19 8.74109E-19 8.54510E-19 8.44810E-19 8.24779E-19 8.64023E-19 8.33445E-19 9.25097E-19 8.75814E-19 9.12901E-19
214.120 7.73733E-19 8.70153E-19 8.98229E-19 9.03426E-19 8.33656E-19 8.12768E-19 8.80409E-19 8.35609E-19 9.20929E-19 8.65800E-19 9.15754E-19
214.130 7.95089E-19 9.11741E-19 9.34923E-19 9.14285E-19 8.35751E-19 8.11441E-19 8.41391E-19 8.49721E-19 9.15310E-19 8.64278E-19 9.09139E-19
214.140 8.03232E-19 8.23006E-19 8.74842E-19 8.55154E-19 8.78142E-19 8.20524E-19 9.01954E-19 8.67827E-19 8.85321E-19 8.69587E-19 8.97874E-19
214.150 7.63558E-19 8.19352E-19 9.07868E-19 8.69484E-19 8.90848E-19 9.05761E-19 9.01203E-19 7.95775E-19 9.24848E-19 8.63847E-19 9.30821E-19
