=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.29 20:18:38 =~=~=~=~=~=~=~=~=~=~=~=
meanV1, meanV2, meanRatio, stdV1, stdV2, stdRatio, Elevation
2687,0.035,0.034,0.513,0.002,0.000,0.031,-2.27
2697,0.034,0.034,0.501,0.001,0.000,0.021,-2.29
2707,0.034,0.034,0.499,0.001,0.001,0.018,-2.32
2717,0.034,0.034,0.499,0.001,0.000,0.016,-2.34
2727,0.034,0.034,0.494,0.000,0.000,0.007,-2.37
2737,0.034,0.034,0.491,0.001,0.001,0.016,-2.39
2747,0.034,0.034,0.498,0.001,0.001,0.020,-2.41
2757,0.034,0.034,0.495,0.001,0.001,0.025,-2.44
2767,0.034,0.033,0.505,0.001,0.002,0.035,-2.46
2778,0.033,0.033,0.504,0.002,0.002,0.041,-2.49
2788,0.033,0.033,0.493,0.002,0.002,0.044,-2.51
2798,0.033,0.033,0.495,0.002,0.002,0.044,-2.54
2808,0.032,0.033,0.489,0.002,0.002,0.044,-2.56
2818,0.030,0.032,0.464,0.003,0.002,0.052,-2.58
2828,0.030,0.032,0.460,0.002,0.002,0.042,-2.61
2838,0.029,0.032,0.461,0.001,0.002,0.040,-2.63
2848,0.029,0.032,0.455,0.000,0.002,0.035,-2.66
2858,0.029,0.031,0.462,0.002,0.002,0.041,-2.68
2868,0.028,0.031,0.456,0.004,0.003,0.059,-2.70
2878,0.028,0.030,0.467,0.002,0.002,0.042,-2.73
2888,0.028,0.030,0.457,0.002,0.002,0.042,-2.75
2898,0.028,0.030,0.469,0.002,0.002,0.045,-2.78
2908,0.027,0.030,0.455,0.002,0.002,0.048,-2.80
2918,0.027,0.029,0.448,0.003,0.001,0.041,-2.82
2928,0.025,0.029,0.433,0.002,0.001,0.040,-2.85
2939,0.025,0.029,0.427,0.002,0.001,0.035,-2.87
2949,0.026,0.029,0.433,0.002,0.001,0.038,-2.90
2959,0.025,0.029,0.430,0.002,0.001,0.037,-2.92
2969,0.025,0.029,0.424,0.002,0.001,0.031,-2.94
2979,0.025,0.029,0.418,0.002,0.001,0.027,-2.97
2989,0.025,0.029,0.424,0.002,0.001,0.031,-2.99
2999,0.024,0.029,0.416,0.001,0.001,0.020,-3.01
3009,0.024,0.029,0.413,0.000,0.000,0.008,-3.04
3019,0.024,0.029,0.417,0.001,0.001,0.023,-3.06
3029,0.024,0.029,0.416,0.001,0.001,0.017,-3.08
3039,0.025,0.029,0.421,0.002,0.001,0.030,-3.11
3049,0.024,0.029,0.411,0.001,0.001,0.020,-3.13
3059,0.024,0.029,0.409,0.001,0.001,0.026,-3.16
3069,0.024,0.029,0.413,0.000,0.000,0.007,-3.18
3079,0.024,0.029,0.412,0.001,0.000,0.009,-3.20
3089,0.024,0.029,0.413,0.001,0.001,0.020,-3.23
3100,0.023,0.029,0.402,0.002,0.001,0.036,-3.25
3110,0.023,0.029,0.391,0.002,0.001,0.040,-3.27
3120,0.022,0.029,0.380,0.003,0.001,0.040,-3.30
3130,0.021,0.028,0.377,0.002,0.002,0.052,-3.32
3140,0.020,0.026,0.378,0.003,0.003,0.046,-3.34
3150,0.019,0.025,0.381,0.003,0.002,0.058,-3.37
3160,0.021,0.026,0.398,0.003,0.003,0.058,-3.39
3170,0.021,0.026,0.394,0.002,0.002,0.054,-3.41
3180,0.020,0.025,0.392,0.002,0.002,0.046,-3.44
3190,0.020,0.025,0.394,0.002,0.002,0.043,-3.46
3200,0.020,0.025,0.402,0.002,0.002,0.046,-3.48
3210,0.020,0.025,0.400,0.002,0.002,0.040,-3.51
3220,0.019,0.025,0.381,0.003,0.002,0.061,-3.53
3230,0.019,0.025,0.389,0.001,0.001,0.032,-3.55
3240,0.019,0.024,0.382,0.002,0.001,0.036,-3.58
3250,0.018,0.024,0.359,0.004,0.002,0.070,-3.60
3260,0.019,0.025,0.376,0.004,0.002,0.065,-3.62
3271,0.018,0.024,0.370,0.003,0.001,0.050,-3.64
3281,0.019,0.024,0.383,0.002,0.001,0.044,-3.67
3291,0.018,0.025,0.362,0.002,0.001,0.052,-3.69
3301,0.017,0.024,0.350,0.003,0.000,0.050,-3.72
3311,0.016,0.024,0.335,0.002,0.000,0.050,-3.74
3321,0.016,0.024,0.326,0.002,0.001,0.048,-3.76
3331,0.016,0.024,0.329,0.002,0.001,0.051,-3.78
3341,0.015,0.024,0.321,0.003,0.001,0.054,-3.81
3351,0.015,0.024,0.315,0.002,0.001,0.039,-3.83
3361,0.016,0.024,0.331,0.002,0.002,0.055,-3.85
3371,0.015,0.024,0.320,0.002,0.002,0.047,-3.88
3381,0.015,0.024,0.310,0.001,0.001,0.035,-3.90
3391,0.015,0.024,0.318,0.002,0.002,0.043,-3.92
3401,0.015,0.024,0.323,0.002,0.002,0.044,-3.94
3411,0.015,0.024,0.313,0.001,0.002,0.040,-3.97
3421,0.015,0.024,0.304,0.001,0.001,0.025,-3.99
3432,0.015,0.023,0.314,0.001,0.002,0.036,-4.01
3442,0.015,0.023,0.314,0.001,0.002,0.033,-4.04
3452,0.014,0.023,0.306,0.001,0.002,0.034,-4.06
3462,0.014,0.024,0.303,0.001,0.002,0.033,-4.08
3472,0.014,0.023,0.299,0.002,0.002,0.052,-4.11
3482,0.014,0.024,0.300,0.001,0.002,0.039,-4.13
3492,0.014,0.023,0.297,0.003,0.002,0.057,-4.15
3502,0.013,0.023,0.290,0.003,0.002,0.054,-4.17
3512,0.014,0.023,0.297,0.002,0.002,0.052,-4.20
3522,0.014,0.023,0.311,0.001,0.002,0.039,-4.22
3532,0.015,0.023,0.311,0.000,0.002,0.030,-4.24
3542,0.015,0.023,0.313,0.001,0.002,0.037,-4.26
3552,0.014,0.023,0.307,0.001,0.002,0.037,-4.29
3562,0.015,0.023,0.313,0.000,0.002,0.032,-4.31
3572,0.014,0.023,0.300,0.003,0.002,0.068,-4.33
3582,0.014,0.023,0.312,0.002,0.002,0.048,-4.35
3593,0.014,0.023,0.308,0.001,0.002,0.030,-4.38
3603,0.014,0.023,0.304,0.002,0.002,0.052,-4.40
3613,0.014,0.024,0.303,0.001,0.002,0.029,-4.42
3623,0.014,0.023,0.316,0.001,0.002,0.043,-4.45
3633,0.014,0.023,0.312,0.001,0.002,0.042,-4.47
3643,0.014,0.024,0.299,0.001,0.002,0.034,-4.49
3653,0.014,0.023,0.293,0.002,0.002,0.048,-4.51
3663,0.014,0.024,0.301,0.002,0.002,0.045,-4.54
3673,0.014,0.024,0.291,0.001,0.001,0.037,-4.56
3683,0.013,0.023,0.280,0.003,0.002,0.064,-4.58
3693,0.014,0.024,0.286,0.003,0.002,0.068,-4.60
3703,0.013,0.024,0.278,0.002,0.002,0.053,-4.63
3713,0.013,0.023,0.291,0.002,0.002,0.053,-4.65
3723,0.013,0.023,0.290,0.002,0.002,0.055,-4.67
3733,0.013,0.023,0.283,0.004,0.002,0.079,-4.69
3743,0.013,0.023,0.288,0.002,0.002,0.052,-4.72
3753,0.014,0.023,0.296,0.002,0.002,0.049,-4.74
3764,0.014,0.023,0.300,0.001,0.002,0.043,-4.76
3774,0.014,0.023,0.302,0.002,0.002,0.057,-4.79
3784,0.014,0.023,0.304,0.002,0.002,0.047,-4.81
3794,0.014,0.023,0.306,0.001,0.002,0.047,-4.83
3804,0.014,0.024,0.302,0.001,0.002,0.031,-4.85
3814,0.014,0.024,0.287,0.002,0.001,0.042,-4.87
3824,0.013,0.024,0.274,0.002,0.001,0.050,-4.90
3834,0.013,0.024,0.268,0.002,0.001,0.050,-4.92
3844,0.013,0.023,0.273,0.002,0.002,0.060,-4.94
3854,0.013,0.023,0.271,0.002,0.002,0.059,-4.96
3864,0.012,0.023,0.264,0.002,0.002,0.057,-4.98
